582288
/m/02s90c
/m/02s90c
Charlotte Brontë
1853
14 1
23 1
a 23
accustomed 1
action 1
after 4
again 2
age 2
alive 1
all 1
although 1
ambiguity 1
ambiguous 1
amour 1
an 2
and 21
angel 1
antagonists 1
apart 1
are 1
arranges 1
arriving 1
as 6
at 5
attention 2
attic 1
away 1
based 1
bassompierre 2
be 5
because 1
beck 3
become 1
becoming 1
bed 2
before 2
begins 1
being 1
belgium 1
better 2
blossoms 1
boarding 1
boards 1
breaking 1
bretton 4
bront 1
brotherly 1
brussels 1
buried 1
but 1
by 2
can 1
capital 1
career 1
carer 1
causing 1
changes 1
chastity 1
child 2
city 1
claims 1
close 1
closer 1
colleague 1
come 1
comes 1
coming 1
concealed 1
concluded 1
conspiring 1
constant 1
content 1
coquette 1
crippled 1
cut 1
day 1
de 3
dead 1
death 1
declares 1
deep 1
deliberately 1
departure 3
described 1
despite 3
destroyed 1
destroying 1
destroys 1
develops 1
devotion 1
did 1
discover 1
discovers 2
disguise 1
doctor 1
dr 4
dramatic 1
each 1
emanuel 1
emotional 1
employment 1
encounters 1
ending 2
energies 1
english 1
ensuing 1
evening 1
eventually 2
everyone 1
example 1
expands 1
externat 1
facile 1
fact 1
fall 3
family 1
famous 1
famously 1
farmyard 1
father 2
feeling 1
felt 1
fiance 1
fiery 1
final 1
finally 2
find 1
finds 3
first 1
for 10
forces 1
forcing 1
found 1
free 1
french 2
frequently 1
friends 1
friendship 1
from 3
get 1
ghost 1
ginevra 3
girls 1
godmother 1
graham 3
grounds 1
group 1
habit 1
hamal 1
handsome 1
happiest 1
happiness 1
happy 1
has 4
he 2
headmistress 1
her 19
herself 1
hesitation 1
hgers 1
highly 2
him 1
hints 1
hired 1
his 7
home 2
hope 1
host 1
house 1
however 2
imagine 1
in 14
including 1
indeed 1
independently 1
indies 2
initial 1
instincts 1
into 4
is 3
it 2
its 1
john 3
journey 1
keep 1
killing 1
know 1
known 2
labassecour 1
later 3
leave 1
left 1
life 1
lifeless 1
lifestyle 1
literary 1
little 2
live 1
long 1
longdead 1
love 5
lover 1
lucy 14
m 5
magically 1
makes 1
marchmont 3
marry 1
may 2
maybe 1
meet 1
miss 3
mme 3
more 1
morning 1
mrs 2
new 2
next 1
night 1
nonetheless 1
not 1
now 1
nun 3
observing 1
of 16
on 4
one 2
or 1
other 1
oversee 1
own 1
pages 1
passive 1
paul 5
paulina 2
peacefully 1
peculiar 1
pensionnat 2
person 1
place 1
plantation 1
plot 1
point 1
polly 2
pre 1
previously 1
priest 1
protagonist 1
puzzle 1
quickly 1
quiet 1
reader 2
regained 1
relatives 1
renew 1
representation 1
reserve 1
return 2
revealed 1
rheumatic 1
sad 1
same 1
saves 1
says 1
scene 1
school 3
schoolmaster 1
secretive 1
seek 1
seen 2
several 1
shadowy 1
shared 1
sharing 1
she 14
ship 2
short 1
should 1
showers 1
silas 1
since 1
snowe 1
some 1
something 2
son 1
soon 4
speaking 1
staff 1
started 1
stay 1
storm 1
story 1
strongly 1
struggle 1
students 1
succeed 1
suggest 1
surveillance 1
symbolic 1
take 1
teacher 1
tempest 1
that 8
the 36
theatre 1
their 2
then 1
there 1
they 3
thing 1
thirty 1
this 1
those 1
though 1
three 1
thrives 1
through 1
time 1
title 1
to 15
together 1
tragedy 1
treat 1
trodden 1
try 1
turn 1
twists 1
two 3
understands 1
unspecified 1
until 1
unworthiness 1
upon 1
usual 1
values 1
very 2
victim 1
villette 2
villettes 2
visitor 1
visits 1
vows 1
wants 1
was 3
we 1
weather 1
were 1
west 2
when 2
which 7
who 2
with 7
without 1
woman 1
word 1
work 1
would 2
years 3
young 2
younger 1
