5454113
/m/0dmm46
/m/0dmm46
Cynthia Kadohata
2004
150s 1
4 1
a 17
ability 1
about 1
achieve 1
act 1
adversities 1
after 4
age 1
altar 1
always 1
amber 2
an 7
and 17
angry 1
animal 1
another 1
apartment 1
appalled 1
appears 1
are 1
argument 1
around 3
arrives 1
as 7
asian 1
asleep 1
at 6
attends 1
average 1
backs 1
be 4
beach 1
beat 1
beautiful 1
because 1
becomes 5
becoming 1
before 1
being 1
belongings 2
best 1
better 1
blank 1
boys 1
breaks 1
brother 1
business 1
but 1
by 2
c 1
california 2
calm 1
can 1
car 2
caught 1
cheer 1
chess 1
choice 1
citing 1
class 1
close 1
comparison 1
condition 1
conditions 1
consistent 1
continues 1
dated 1
day 2
days 2
death 1
decides 1
describe 1
desk 1
deteriorate 1
diary 1
did 1
die 1
died 1
dies 2
difficulty 1
dislikes 1
distress 1
drive 1
dropping 1
dumps 1
dying 1
enters 1
even 2
eventually 2
everyone 1
example 1
falls 1
families 2
family 9
father 3
feels 1
fight 1
fired 1
for 5
friend 2
friends 2
from 2
game 1
georgia 1
getting 1
girl 2
go 2
goes 3
going 1
got 1
grades 1
grand 1
grief 2
had 1
handling 1
hang 1
harsh 1
has 3
hatchery 3
have 2
having 2
he 5
hear 1
heart 1
help 1
her 24
higher 1
him 1
his 2
holds 1
home 1
hope 1
house 2
however 1
hurdles 1
if 1
ill 1
illness 1
immensely 1
in 13
intelligent 1
interested 1
into 2
iowa 1
irritable 1
is 12
it 6
japanese 2
japaneseamerican 1
job 1
katie 25
katsuhisa 1
keeps 1
kilgore 2
kirakira 4
knew 1
knows 2
late 2
later 1
leave 1
left 1
life 1
limp 1
little 1
live 2
lives 1
long 1
longer 1
look 1
looks 1
lose 1
loved 1
lymphoma 1
lyndon 3
lynn 24
master 1
meanwhile 1
meeting 1
meets 1
metal 1
might 1
missouri 1
most 1
mother 5
moves 2
mr 3
named 1
never 1
next 3
novel 1
now 1
of 4
often 1
old 1
older 2
on 4
one 1
only 2
opening 1
opposes 1
other 1
out 2
own 2
owned 1
owner 1
owns 1
parent 1
parents 2
people 1
person 1
phrase 1
place 1
plant 1
popular 1
probably 1
property 1
prounion 1
rage 1
reading 1
realizes 3
recommends 1
reconciling 1
recover 1
relapses 1
remind 1
restrained 1
resulting 1
same 1
sammy 2
school 1
sea 1
seeing 1
selfproclaimed 1
several 1
she 13
shining 1
shocks 1
sicker 1
silly 2
sister 1
solid 1
soon 1
sparkle 1
spirit 2
starts 1
stay 2
store 1
story 1
struggle 1
suffering 1
supermarket 1
take 1
takes 1
taught 2
tell 1
tells 1
that 11
the 27
their 3
there 2
they 2
things 2
thinks 1
though 5
threeday 1
throughout 1
to 23
told 2
too 1
trap 1
uncle 2
unemployed 1
union 3
unique 1
up 4
upon 1
use 1
usually 1
vacation 1
vast 1
voice 1
voted 1
wages 1
waiting 1
walks 1
wanted 4
was 2
waves 1
what 1
when 6
where 6
which 3
while 2
who 1
whom 2
why 1
will 5
with 8
without 1
woken 1
wonderful 1
word 2
work 3
working 1
world 1
would 1
wouldnt 1
wrecks 1
written 1
younger 1
