18558354
/m/04fzycr
/m/04fzycr
Peter Dickinson
1988-10-06
a 11
accept 1
accepted 1
adapt 2
advocate 1
all 1
also 1
an 3
and 9
animal 1
animals 1
another 1
are 1
as 2
assures 1
at 2
badly 1
band 1
be 1
become 1
becomes 1
bed 1
been 3
before 1
believes 1
belong 1
between 1
big 1
body 1
bother 1
broadcast 1
but 3
by 3
captivity 1
care 1
chimp 2
chimpanzee 4
chimpanzees 2
chimps 3
comes 1
companies 1
company 1
convinces 1
cope 1
cost 1
cross 1
cut 1
day 1
death 1
decline 1
descendants 1
devise 1
died 1
do 1
doctors 1
dominant 1
dreams 1
easier 1
either 1
ends 1
enthusiastic 1
escape 1
eva 11
even 1
experimental 1
face 2
facility 1
family 1
father 2
fine 1
for 4
forest 1
from 3
future 1
get 1
going 1
gradually 1
grog 3
group 1
grown 1
guesses 1
haper 2
has 8
have 1
he 1
help 1
helps 1
her 15
herself 2
hilaire 1
hit 1
home 1
hospital 1
human 4
humans 2
imagines 2
immense 1
in 9
ingenious 1
intelligent 1
interest 1
into 1
intrigued 1
introduction 1
is 9
island 1
it 1
kelly 2
kennedy 1
keyboard 1
knowledge 1
later 1
lead 1
learn 1
learns 2
left 1
long 1
longer 1
looks 1
madagascar 1
manipulate 1
many 1
massive 1
means 1
media 2
memory 1
met 1
mirror 1
most 2
mother 1
must 3
near 2
necessary 2
neuron 1
never 2
new 2
no 1
not 1
novel 3
of 14
off 1
one 1
only 2
opens 1
other 1
others 2
out 2
paralysis 1
paralyzed 1
part 1
particularly 1
people 1
plan 1
pockets 1
power 1
procedure 2
public 1
race 3
reality 1
realizes 1
reduce 1
research 1
reserve 1
return 2
rights 2
running 1
sake 1
scarred 1
school 1
seen 2
sees 1
she 11
simulate 1
situations 1
skills 1
small 1
sniff 2
social 1
some 1
species 2
spend 1
spends 2
st 1
stage 1
steam 1
survive 1
takes 1
technology 1
television 1
that 6
the 31
there 2
they 1
this 1
time 2
to 15
transplant 1
turn 1
twentyfour 1
unconscious 1
understanding 1
up 2
used 1
using 1
virtual 1
voice 1
wakes 1
when 2
where 3
which 3
wild 1
wilderness 1
will 3
with 5
world 1
years 1
young 1
