5935404
/m/0ffbgw
/m/0ffbgw
William Henry Hudson
1885
{"/m/08sdrw": "Adventure novel"}
a 5
adventures 1
after 1
aires 1
already 1
an 1
and 7
are 1
argentinian 1
asking 1
away 1
battle 1
becomes 1
boat 1
bound 1
bride 1
buenos 1
but 1
by 2
captured 1
cause 1
coloma 2
daughter 1
defeated 1
demetria 2
died 1
disguise 1
during 1
eastern 1
embroiled 1
ends 1
englishman 1
escape 2
evade 1
events 1
father 2
find 1
flee 2
for 4
forced 1
from 2
gauchos 1
general 1
girl 1
government 1
grief 1
guerrilla 1
had 1
has 1
he 4
helps 2
her 2
here 1
herself 1
himself 1
his 3
however 1
in 4
informed 1
into 1
is 1
joins 1
lamb 6
leader 1
leaves 1
local 1
marries 1
montevideo 2
novel 2
of 4
off 1
old 1
on 1
opening 1
paquita 4
paragraphs 1
permission 1
persecutors 1
prison 2
pursuers 1
reader 1
rebel 2
rebels 1
relative 1
returns 1
richard 1
romances 1
santa 2
sets 1
slipping 1
soon 1
story 2
teenage 1
tells 1
that 1
the 10
their 1
three 1
thrown 1
time 1
to 5
unknowingly 1
uruguay 2
uruguayan 1
was 1
which 1
while 1
who 1
wife 1
with 4
without 1
women 1
work 1
years 1
young 2
