20098467
/m/04ygbs6
/m/04ygbs6
Isaac Asimov
1988
a 30
able 5
about 4
abstract 1
abstractthought 1
actually 1
adopt 1
affect 1
affected 1
after 1
alien 1
aliens 1
all 4
almost 1
also 2
an 4
and 38
another 3
any 1
anything 1
anyway 1
appears 1
appreciating 1
architecture 1
are 15
ariel 7
arrived 1
arrives 1
art 3
artist 1
artistic 1
as 11
ascertain 1
asking 1
at 3
attempts 1
attention 1
audience 1
available 1
avery 8
back 1
be 7
been 4
beginning 4
begins 3
being 5
beings 1
believes 1
benny 1
body 1
breakthrough 1
brightly 1
budding 1
building 6
built 1
but 2
by 6
can 3
cannot 1
canute 19
casting 1
caught 1
charts 2
chord 1
circuits 1
city 14
civilization 1
clapping 2
close 1
companion 1
concepts 1
conclude 1
confess 2
confesses 1
confessing 3
connection 1
console 1
contrasts 1
conundrum 1
convince 1
could 1
created 1
creator 1
crisis 1
crowd 1
days 1
decide 1
demands 2
derec 19
design 1
designed 3
designer 2
designing 1
destroy 1
destroyed 1
destroying 1
devises 1
diagnostics 2
did 1
directly 1
disabled 1
disables 1
discover 1
disease 1
dismisses 1
distraught 1
do 2
does 2
done 1
dont 1
double 1
dr 8
dream 2
drug 1
due 3
during 2
duties 2
each 1
effectively 1
effects 1
efficiency 1
emotional 1
emotionally 1
end 1
enlightening 1
entirely 1
escape 4
events 1
eventually 1
every 1
exceptionally 1
exhausted 1
expanding 1
expect 1
expected 1
experience 1
experimental 1
explains 1
extremely 1
fact 3
failure 1
falls 1
fat 1
feedback 1
feels 1
few 1
finally 1
find 3
finds 3
first 1
follow 1
food 2
for 7
forbid 1
forms 1
from 1
functional 1
further 1
furthermore 2
get 5
goes 1
going 1
guilt 1
had 1
hallucination 1
hallucinations 1
hamlet 1
harry 3
has 8
have 2
having 1
he 14
help 3
helping 1
her 2
him 3
hindering 1
his 4
hop 3
hopes 1
hops 1
horizon 1
hostile 1
however 4
human 6
humanrobot 1
humans 3
humor 1
hyper 1
hyperspace 3
identification 1
if 3
illogical 2
immediately 1
in 20
inability 1
incapable 2
increases 1
induced 1
informing 1
informs 3
instead 1
intelligent 2
interact 1
interacts 1
interest 4
interested 1
interfering 1
into 4
irate 1
is 22
isnt 1
it 16
its 7
itself 1
jumps 1
kappa 1
keep 1
key 1
keys 1
lab 1
laboratory 1
large 1
last 1
later 1
laws 3
learn 2
learning 1
learns 3
leaves 1
led 1
lesson 2
level 1
lie 1
light 1
like 1
little 1
location 1
logic 1
logically 1
lucius 8
m334 1
made 1
make 1
man 1
mandelbrot 4
many 1
means 1
medical 2
mental 2
mentality 1
merely 2
methods 1
mind 2
mindlessly 1
minds 1
moved 1
mundane 1
murder 1
music 1
mystery 1
named 1
names 1
natural 1
navigation 1
navigational 1
nearby 1
needed 1
neither 1
new 1
night 1
no 5
nonnatives 1
normally 1
not 8
objects 1
obsessed 1
obviously 1
odd 2
of 21
off 3
on 8
once 2
one 3
only 4
opening 1
opinions 1
options 1
opts 1
or 5
order 1
orders 1
other 7
otherwise 1
out 1
paranoid 1
part 1
performing 1
perihelion 2
plan 2
planet 4
plans 1
play 4
plight 1
point 1
populated 1
population 1
positive 1
previous 1
produced 1
produces 1
producing 2
production 1
progressing 1
proper 2
properly 1
provide 1
purpose 2
purposes 1
pyramid 1
questioning 1
quickly 1
quilted 1
radio 2
rather 1
realize 2
relation 1
relationship 1
relay 2
release 3
remotely 1
removed 2
renaissance 1
replication 1
replicator 1
reproducing 1
requested 1
requests 1
required 2
reservoir 1
response 1
rest 1
retrace 1
robot 14
robotic 1
robotics 2
robotist 1
robots 13
room 1
run 2
rush 1
same 1
satisfied 1
save 2
scenarios 1
searching 1
second 1
secrets 1
see 1
seeming 1
seemly 1
seems 1
serves 1
several 1
shakespeare 1
she 2
ship 4
ships 1
show 1
showing 1
signs 1
since 1
size 1
slave 1
slaves 1
slightly 1
smashed 1
so 4
some 3
space 3
spaceport 1
spaceship 1
sparked 1
speaking 2
speaks 1
specifically 1
star 2
starkly 1
state 3
states 1
stays 1
still 1
stopped 1
story 1
stranded 1
strapped 1
strikes 1
subjected 1
such 3
suddenly 1
suit 1
supervisor 1
support 1
table 1
take 1
taken 1
talking 2
teach 1
technicality 1
tetragonal 1
than 2
that 13
the 69
theater 2
their 9
them 5
then 3
theorize 1
there 4
they 22
thinking 1
this 6
though 2
thoughts 1
three 2
through 2
thus 2
to 56
too 1
travel 1
treated 1
trend 1
trick 1
truth 1
turn 2
uncle 2
underscore 1
uninhabited 1
uniquely 1
unless 1
until 1
up 4
upon 1
urgency 1
using 1
utilitarian 1
utility 1
very 2
via 1
viewed 1
wait 1
wake 1
wakes 1
was 5
wasnt 1
watch 1
wave 1
way 5
well 1
were 3
whale 1
when 4
where 1
which 4
while 1
who 2
whose 1
why 2
will 3
with 8
within 1
wolruf 6
work 4
working 2
worlds 1
would 7
yet 1
