17940084
/m/047rlyt
/m/047rlyt
Amélie Nothomb
2000
{"/m/05hgj": "Novel"}
a 6
acquisition 1
age 1
amphibious 1
an 1
and 7
apparently 1
are 1
around 1
as 1
autobiographical 1
awareness 1
belgian 1
believe 1
bilingualism 1
birthday 1
born 1
but 1
by 1
character 1
child 2
children 1
complete 1
de 1
des 2
describes 1
developmental 1
discovered 1
discovery 1
each 1
encompasses 1
esmetafsica 1
fall 1
family 1
fascinating 1
first 1
for 1
frmtaphysique 1
from 1
gains 1
gods 1
grace 1
half 1
has 1
her 5
human 1
in 3
is 2
it 1
japan 1
japanese 3
join 1
jolted 1
language 1
life 2
lord 1
los 1
meaning 1
most 1
name 1
narrator 2
nearly 1
nlmtaphysique 1
not 1
novel 2
oceans 1
of 10
okosama 1
old 1
on 1
one 2
or 2
out 1
peculiar 1
plantlike 1
ponds 1
pools 1
psychology 1
puddles 1
race 1
rain 1
rest 1
seas 1
seen 1
selfawareness 1
she 1
spent 1
state 2
streams 1
symbol 1
that 1
the 14
their 1
themes 1
they 1
third 1
three 1
threeyear 1
to 2
tubelike 1
tubes 2
tubos 1
two 1
until 2
vegetative 1
water 1
whether 1
world 2
years 1
