17915207
/m/047rfsv
/m/047rfsv
Lawrence Block
1986
{"/m/02n4kr": "Mystery", "/m/0c3351": "Suspense"}
10000 1
a 8
actors 1
alcoholic 1
an 1
and 3
are 1
as 1
at 1
bars 1
because 1
bobby 2
books 1
call 1
crimes 1
dead 1
deals 1
department 1
depressed 1
detective 1
end 1
evasion 1
evidence 1
find 1
first 1
for 1
frame 1
frequents 1
from 1
get 1
gets 1
girl 1
girlfriend 1
guy 2
had 1
he 3
helped 1
herself 1
his 3
in 3
ira 1
is 2
it 2
job 1
justice 1
kasabian 1
killed 1
kills 1
kitty 1
later 2
little 1
makes 1
man 1
many 1
morrisey 1
morriseys 2
ms 1
murdered 1
new 1
novel 1
of 3
one 1
people 1
phone 1
police 1
quit 1
real 1
records 1
reward 1
rob 1
robbery 2
safe 1
scudder 3
second 1
serves 1
she 1
shot 1
shows 1
skip 3
solves 1
such 1
support 1
tax 1
that 6
the 12
there 4
they 1
thinks 1
third 1
this 1
three 2
to 2
turns 1
two 1
was 2
while 1
who 2
wife 2
with 1
working 1
york 1
