3078211
/m/08pxjv
/m/08pxjv
James Ellroy
1988-09
14 1
150 1
a 9
aftermath 1
all 1
ambitious 1
an 3
and 12
angeles 1
are 3
around 1
as 6
at 1
avenue 1
battles 1
bebop 1
begin 1
begins 1
benefited 1
big 1
blacks 1
boogies 1
both 1
brilliant 1
brutal 2
brutality 1
buzz 1
capture 1
capturing 1
careers 1
case 2
centered 1
central 1
characters 1
child 1
class 1
clubs 1
cohen 1
colony 1
communists 2
compromised 1
confront 1
considine 1
cop 1
creates 1
custody 1
danny 1
decadent 1
deception 1
decoy 1
denote 1
depicts 1
deputy 2
dialogue 1
dirty 1
disgraced 1
do 1
during 1
easier 1
easily 1
effort 1
efforts 1
ellroy 3
emanating 1
employs 1
entire 1
environment 1
era 1
eve 1
even 1
event 1
eventually 1
executives 1
expose 1
facing 1
fact 1
feast 1
fellow 1
fiction 1
film 1
finds 1
for 3
force 1
former 1
fortunes 1
from 3
fruits 1
gays 1
has 1
he 3
hide 1
him 1
himself 2
his 1
hollywood 2
homos 1
howard 1
hughes 1
hypocrites 1
in 7
into 2
involved 1
is 3
jazz 1
jigs 1
kept 1
la 2
labor 2
lagoon 1
lapd 1
liberally 1
lieutenant 1
life 1
los 1
major 1
mal 1
malcolm 1
many 1
meeks 1
mickey 1
mindset 1
mobsters 1
mocks 1
most 1
movie 1
murder 1
murderer 1
names 1
naming 1
nances 1
neighborhoods 1
new 1
niggertown 1
no 1
notorious 1
novel 2
now 1
nowhere 1
nuances 1
of 10
on 4
one 1
opportunistic 1
organized 1
other 1
oust 1
own 1
paranoia 1
place 1
political 1
portrait 1
race 1
redbaiting 1
reluctantly 1
resultant 1
ride 1
right 1
riots 1
roiled 1
scam 1
secrets 2
separate 1
serving 1
setup 1
sex 1
sheriff 1
slang 1
sleepy 1
somewhat 1
story 2
studio 1
studios 1
success 1
suit 1
takes 1
tales 1
that 5
the 18
their 2
things 1
this 2
times 1
to 8
together 1
travelers 1
try 1
turner 1
turns 1
twist 1
two 2
union 1
upshaw 1
varying 1
vernacular 1
vivid 1
what 1
while 2
whole 1
whom 1
will 1
with 2
working 1
year 1
years 1
young 1
zoot 1
