173601
/m/017d_b
/m/017d_b
Frank Herbert
1982
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
16 1
20 1
a 8
after 1
agencies 1
all 1
an 1
ancient 1
and 13
appoint 1
are 2
arrives 1
as 2
at 1
back 2
being 1
biologist 2
bomb 1
bomber 1
boy 2
broken 1
but 1
by 1
carry 1
cause 1
caused 1
celtic 1
centered 1
certain 1
children 2
citizens 1
coming 1
confess 1
confirm 1
confronted 1
consider 1
control 1
countries 4
course 1
creates 1
cure 1
custody 1
death 1
deduced 1
demands 1
detonated 1
do 1
done 1
down 1
driven 1
due 1
effective 1
either 1
end 1
england 2
essentially 1
explosive 1
finding 1
for 5
forced 1
fragments 1
genocidal 1
giving 1
goes 2
governments 2
grow 1
halfway 1
has 5
have 2
he 9
herity 2
hide 1
him 1
his 6
hopes 1
identity 1
if 1
in 5
indirect 1
insane 1
into 1
investigatory 1
ira 4
ireland 5
irish 2
is 6
it 1
its 1
john 1
joseph 1
killaloe 1
killed 2
kills 1
kings 1
lab 1
law 1
let 1
libya 1
lingering 1
local 1
lose 1
loss 1
lost 1
may 1
meanwhile 1
mind 1
molecular 2
more 1
mother 1
not 1
of 11
off 1
offer 1
old 2
on 3
oneill 5
oppressing 1
or 1
order 1
others 1
out 2
pagan 1
pain 1
personalities 1
plague 3
plagues 1
plan 1
planning 1
plans 1
possibility 1
priest 2
purpose 1
quarantine 1
questioning 1
recreate 1
release 1
releases 1
releasing 1
religions 1
responsible 1
revenge 2
roe 1
rowan 1
run 1
sabotaging 1
said 1
send 1
services 1
several 1
silence 1
so 1
supporting 1
suspected 1
taken 1
targeted 1
terrorists 2
that 7
the 25
their 2
them 1
themselves 1
then 1
there 2
they 4
those 2
threat 1
three 1
through 1
thugs 1
to 12
training 1
travel 1
tree 1
vow 1
walk 1
ways 1
what 1
whatever 1
when 3
who 2
whom 1
wife 2
will 2
wiping 1
with 2
women 1
work 1
world 3
