10377713
/m/02q9wp4
/m/02q9wp4
John Bellairs

a 6
about 2
accepts 1
afoul 1
after 1
allows 1
alpheus 1
an 1
and 9
anthony 7
archeological 1
are 2
around 1
as 1
at 1
bank 1
be 1
before 1
believes 1
both 1
building 1
built 1
but 2
by 1
can 1
chores 1
clue 1
clues 1
correctly 1
desperate 1
dig 1
does 1
during 2
earn 1
eccentric 1
eells 2
elderly 1
exist 1
expenses 1
family 2
father 1
fight 1
finances 1
finding 1
finds 2
followed 1
for 4
found 1
from 1
gave 1
gold 1
greedy 1
half 2
has 1
having 1
he 2
heartattack 1
help 2
hid 1
himself 2
hints 1
his 3
hoosac 2
hugo 1
hunter 1
if 1
in 4
is 1
it 4
job 1
kept 1
know 1
knows 1
lead 1
learn 1
librarian 1
library 4
little 2
live 1
look 1
lot 1
lucky 1
man 1
many 1
minnesota 1
monday 1
money 5
more 1
ms 1
myra 1
no 1
not 1
of 4
on 1
one 1
parttime 1
philpotts 1
poor 1
prize 1
problems 1
public 1
recovery 1
result 1
rumor 1
runs 1
safekeeping 1
seems 1
sells 1
something 2
somewhere 1
soon 1
statue 1
tale 1
that 6
the 18
they 2
to 6
too 1
treasure 6
treatment 1
true 1
ultimately 1
vicepresident 1
was 1
wealthy 1
weathervane 1
well 1
which 1
while 1
who 2
will 2
winterborn 5
with 2
working 1
worth 1
written 1
years 1
