16791995
/m/04069ck
/m/04069ck
L. Ron Hubbard
1937-07-30
{"/m/025txgl": "Western fiction"}
1806 1
27 1
a 4
adopted 1
affect 1
after 1
american 3
and 2
another 1
are 1
as 1
attempts 1
based 1
blackfeet 2
book 2
by 1
chief 2
clark 1
death 1
describes 1
during 2
entry 3
evil 1
expedition 2
from 2
fur 3
future 1
had 1
hair 3
he 2
his 3
how 2
hubbard 1
in 4
is 2
join 1
journal 2
july 1
killed 1
learn 1
lewis 3
living 1
man 2
mentions 1
meriwether 1
name 1
native 3
of 2
on 1
operations 1
part 1
people 2
portrayed 1
protect 1
references 1
referred 1
savages 1
sent 1
story 1
the 10
their 1
this 1
to 3
traders 3
tribe 1
white 3
will 1
with 1
yellow 3
