2453122
/m/07f5ds
/m/07f5ds
Tobias Smollett
1748
1730s 1
1740s 1
a 9
abusive 1
accomplishments 1
adventures 2
africa 1
after 3
again 1
alia 1
america 1
ancient 1
and 17
any 1
are 1
argentina 1
as 2
assist 1
at 2
attention 1
attract 1
bath 1
because 1
becomes 1
being 1
birth 1
born 1
bowling 1
boy 1
british 1
brother 1
by 1
can 1
cast 1
character 1
classmates 1
coerces 1
comfortably 1
companion 1
consent 1
denounces 1
despite 1
dies 1
discrimination 1
do 1
driven 1
education 1
embarks 1
enabling 1
encounters 2
end 2
ends 1
entitlement 1
escapades 1
every 2
exacts 1
family 2
father 3
few 1
finally 1
first 1
for 2
france 2
free 1
french 1
friends 1
funds 1
gentleman 2
giving 1
grandfather 2
greek 1
grief 1
guardian 1
happily 1
he 7
her 1
him 4
himself 1
his 12
honest 1
however 1
hugh 1
immediately 1
in 6
including 1
indies 1
inherits 1
inter 1
into 1
is 6
italian 1
language 1
latin 1
learns 1
life 1
little 1
live 1
local 1
london 1
lovely 1
lowerclass 1
mad 1
malice 1
marry 1
master 1
maternal 1
medical 1
meets 1
misadventures 1
money 1
mother 1
much 1
naive 1
narcissa 1
nobleman 1
none 1
novel 3
now 1
occasional 1
of 10
on 5
once 3
one 1
opportunity 1
oppresses 1
out 1
paternal 2
person 1
popular 1
poses 1
pressganged 1
privateer 1
providing 1
random 8
rather 1
relies 1
reunited 1
revenge 1
rightful 1
roderick 3
rory 1
school 1
scottish 1
series 1
serving 1
set 1
several 1
sharpers 1
ships 1
shunned 1
skills 1
so 1
some 2
soon 1
south 1
spends 1
staunch 1
story 1
strap 1
subsequent 1
support 2
take 1
tells 1
than 1
that 2
the 16
then 1
thus 1
times 1
to 7
tom 1
trustworthy 1
trying 1
turn 1
tutor 2
twice 1
uncle 1
up 2
various 1
visiting 1
warship 1
was 1
way 1
wealthy 2
west 2
when 1
while 1
who 3
whom 1
willing 1
win 1
with 5
without 1
wits 1
woman 1
women 1
