5708643
/m/0f0d31
/m/0f0d31
Kevin Crossley-Holland
2000-08
11 1
a 10
accentuated 1
accepted 1
age 1
along 1
and 12
another 1
anyone 1
are 1
arthur 16
as 4
associated 1
at 1
be 1
become 1
becomes 2
before 1
beginning 1
begins 2
belief 1
betrothal 1
between 1
birthday 2
book 1
both 1
britain 1
but 1
by 2
caldicot 4
cannot 1
cease 1
challenge 2
child 1
clear 1
comes 1
conceive 1
considered 1
create 1
crusade 1
dangerous 1
daughter 1
days 1
de 5
deals 1
dies 1
disappear 1
each 1
early 1
else 1
ends 1
especially 1
events 1
eventually 1
exactly 1
fact 1
family 1
farmland 1
father 2
fence 1
first 1
for 2
foster 2
fourteenth 1
fourth 1
future 1
gives 1
gortanore 1
grace 2
halfsister 1
have 1
he 7
heir 1
him 2
himself 2
his 13
holt 1
husband 1
if 1
important 1
in 11
inadequate 1
ineligible 1
inhabits 1
inherit 1
is 13
it 4
its 1
jealous 1
john 1
joust 1
jousting 1
just 1
king 8
knight 2
knowledge 1
land 1
large 1
later 1
leads 1
learns 2
lefthanded 1
legendary 1
life 4
like 1
living 1
look 1
lord 1
make 1
manor 3
many 1
march 1
marches 2
marriage 1
marry 1
medieval 1
merlin 2
middle 2
most 3
mother 1
murdered 1
must 2
named 1
near 1
notable 1
novel 1
observes 1
obstacles 1
oddity 1
of 13
offhand 1
on 2
one 1
only 2
or 1
order 1
other 1
overcome 1
own 2
parallel 1
parents 2
people 2
power 1
reading 1
really 1
reflecting 1
resemblance 1
revelation 1
rise 1
scribe 1
second 2
seeing 1
seems 1
shares 1
similar 1
sir 4
skill 1
son 2
specific 1
squire 2
stephen 1
stone 3
story 2
stresses 1
suppose 1
swordplay 1
taken 1
terminates 1
that 7
the 27
then 1
they 2
thirteen 1
this 1
those 1
through 1
thus 1
time 1
to 12
uncle 1
unfortunately 1
universe 1
until 1
uther 2
wales 1
warning 1
was 2
when 3
which 1
who 2
will 1
william 3
with 7
wizard 1
work 1
worlds 1
would 1
writing 1
yardskills 1
year 1
years 2
ygerna 1
young 3
