5870976
/m/0fb18b
/m/0fb18b
Cornelia Meigs
1933
{"/m/0xdf": "Autobiography", "/m/017fp": "Biography", "/m/0dwly": "Children's literature"}
a 9
abba 2
according 1
active 1
adult 1
again 2
alcott 9
all 1
alone 1
an 2
and 16
anna 1
anxiety 1
approaching 1
are 1
area 1
as 5
author 1
barley 1
be 2
being 2
between 1
birth 1
book 2
books 2
boston 1
boys 1
brilliant 1
bringing 1
bronson 5
but 3
by 1
care 1
causing 1
child 1
children 2
chronology 1
civil 1
club 1
come 1
committed 1
communal 1
community 1
concludes 1
concord 1
conference 1
continue 1
contrast 1
daughter 1
day 1
dc 1
death 1
during 1
earn 1
education 1
elizabeth 1
emerson 1
ending 1
ends 1
events 1
expected 1
failed 1
family 6
farm 1
father 2
five 1
followed 1
follows 1
for 4
found 1
four 1
friendship 1
from 1
fruitlands 2
fully 1
germantown 1
getting 1
girls 1
gives 1
grain 1
great 1
had 1
happiness 2
happy 1
hard 1
harvested 1
has 1
helps 1
her 7
his 2
home 1
how 1
idealistic 1
ideals 1
impractical 1
in 6
including 1
into 1
introduces 1
invincible 3
is 4
it 1
jo 1
just 2
later 2
leave 1
leaves 1
less 1
life 4
little 4
long 1
louisa 12
man 1
may 1
meetings 1
meigs 3
men 1
more 1
mother 2
moved 1
moves 1
much 1
necessary 1
new 1
not 1
november 1
now 1
nurse 1
of 14
oldest 1
on 2
one 1
only 1
opens 1
other 1
own 2
page 1
peace 2
pennsylvania 1
pickwick 1
places 1
portrayed 1
portrays 1
practical 1
proves 1
ralph 1
ran 1
reader 1
recounts 1
says 1
school 1
security 2
seeks 1
several 1
she 3
shown 1
sisters 1
snowy 1
so 1
soldiers 1
some 2
storm 1
story 1
subtitled 1
succeed 1
success 1
support 1
take 1
teaching 1
tells 1
ten 1
than 1
that 3
the 27
their 1
them 1
there 1
these 1
this 1
time 2
times 2
to 15
transcendentalism 1
transcendentalist 1
travels 1
trouble 1
two 1
unable 1
understand 2
unusual 1
used 1
very 1
views 1
waldo 1
wanted 1
war 1
was 3
washington 1
way 1
were 1
what 1
when 2
whole 1
with 4
women 3
work 1
would 1
writing 2
year 1
young 1
younger 1
