3874330
/m/0b4gk9
/m/0b4gk9
Luigi Pirandello
1902
{"/m/05hgj": "Novel"}
a 18
about 4
adapts 1
added 1
admirer 2
adversary 1
after 4
again 1
against 1
aging 2
agitated 1
alcozr 3
all 2
alletto 3
allow 1
already 1
alternatively 1
always 2
an 2
ancient 1
and 26
antiquity 1
apparatus 1
appearance 2
are 3
around 2
arrogantlyin 1
as 9
asked 1
at 1
atmosphere 1
author 1
avoided 1
awkwardly 1
background 1
badly 1
bald 1
be 2
beautiful 1
because 2
becomes 1
been 1
before 1
begging 1
begins 1
believes 1
beneficiary 1
between 1
bitter 1
breaks 1
breast 1
bring 1
bringing 1
brotherinlaw 2
but 6
by 3
can 2
care 1
carmela 1
caught 1
cause 1
cavalier 1
certain 1
challenge 1
chance 2
change 1
chapter 3
chapters 1
character 1
chats 1
choices 1
choosing 1
ciro 3
cirro 1
city 2
comedy 1
comic 1
commiseration 1
completely 1
compliments 1
conceived 1
concept 1
conditions 1
conducting 1
conqueror 1
consensus 1
consent 1
consign 1
constructed 1
contented 1
continually 1
continues 1
contradictions 1
contrasts 1
control 1
convinced 1
coppa 1
could 1
courage 1
coward 1
cries 1
crinoline 1
crisis 1
curious 1
dames 1
dances 1
dandy 1
dared 1
daughter 2
day 1
dead 1
death 3
decrepit 2
deeply 1
defend 1
defined 1
defining 1
depend 1
desire 1
desires 1
desperate 2
deus 1
diego 4
dies 1
different 1
dignity 1
dirt 1
discontent 1
dishonest 1
dissimulated 1
divided 1
dominates 1
domineering 1
don 3
dreaming 1
dress 1
duel 1
each 1
easily 1
economic 1
efficacy 1
elderly 1
emerges 1
ends 1
entire 1
environments 1
epoch 1
especially 1
establish 1
even 1
event 1
events 3
everyone 1
everything 1
ex 1
excitedly 1
excuses 1
exhausts 1
exhilarating 2
expectations 1
eyes 1
fabulously 1
fact 2
faints 1
false 1
father 1
fatherinlaw 1
favour 1
feels 1
ferdinand 1
figure 1
filled 1
final 1
fireworks 1
first 1
fixe 1
following 1
for 8
fore 1
forefront 1
four 2
freshness 1
friend 1
from 4
fulfilled 1
full 1
furtive 1
future 2
games 1
gaudy 1
gay 1
get 2
gets 1
give 1
goal 1
goes 1
good 1
great 1
guests 2
had 2
hands 1
happiness 1
has 3
hated 1
have 2
having 1
he 18
healthy 1
hear 1
help 1
her 10
here 1
heredity 1
herself 1
him 5
himself 5
his 21
human 1
hurry 1
husband 3
hypocrisy 1
hysterical 1
idea 2
idee 1
if 2
ii 1
illuminated 1
in 17
incapable 1
insane 1
inserts 1
insistently 1
insisting 1
insists 1
intercalation 1
intervene 1
into 1
invention 1
invested 1
involved 1
is 11
it 4
itself 1
jealousies 1
king 1
laboriously 1
lack 1
large 1
last 1
laugh 1
lawyer 2
lazy 1
let 1
life 1
lighthearted 1
like 1
likes 1
lion 1
lives 1
long 1
longer 1
look 2
looked 2
lose 1
loses 1
lost 1
machina 1
majority 1
maldextrous 1
man 1
marcantonio 6
marriage 1
marries 1
marry 1
marrying 2
meets 1
melancholic 1
misbegotten 1
miserably 1
mndola 2
morally 1
mortal 1
mother 1
much 1
must 3
name 1
napoleon 1
narrative 1
never 4
next 1
no 1
nobility 1
not 3
novel 1
now 1
nullified 1
obstinately 1
obviously 1
occasion 1
odd 1
of 54
offers 1
old 3
on 3
once 1
one 3
onto 1
optimistic 1
or 1
order 2
other 1
others 1
out 5
over 1
overweening 1
overweight 1
part 1
party 2
passes 1
patience 1
pectoris 1
people 1
pep 8
permit 1
piano 1
pirandello 1
plan 3
play 1
playing 1
point 1
poor 1
precarious 1
precipitate 1
preparations 1
prey 1
problems 1
proposition 1
provinces 1
ragioniamo 1
rapidly 1
rav 4
reader 1
reality 1
reason 1
remembers 1
rendering 1
representative 1
responding 1
right 1
robust 1
rosolio 1
salm 1
say 1
scene 1
scenes 1
search 1
second 1
seriously 1
shadow 2
shatters 1
short 1
sicilies 1
sin 1
singing 1
singular 1
sister 1
situation 2
situations 1
slave 1
small 1
so 1
solicitations 1
solution 1
soninlaw 1
sons 1
soon 1
spills 1
spit 1
sprightly 1
squeezes 1
stains 1
state 1
stay 1
stellina 11
stigmatized 1
story 2
strikes 1
subjects 1
such 1
surprise 1
surrender 1
survived 1
takes 2
taking 1
talking 1
tenacious 1
that 9
the 78
their 1
them 1
then 1
there 1
these 2
they 2
think 1
third 1
thirty 1
this 7
those 1
through 2
time 1
tina 2
to 22
tomorrow 1
too 1
trembling 1
true 1
turn 4
two 3
typical 1
uncomfortable 1
uncontrollable 2
underscore 1
understandable 1
unexpected 1
union 1
unpredictable 2
up 2
vain 1
vengeance 1
very 1
view 1
wait 1
waiting 1
watery 1
weak 1
wealthy 1
wears 1
weddings 1
well 1
welloff 1
what 1
when 1
where 1
which 6
while 2
white 1
who 7
whose 2
why 1
widower 1
wife 3
will 4
with 8
without 1
wives 1
words 2
work 2
worm 1
would 2
wounded 1
your 1
