2853892
/m/086_55
/m/086_55
Italo Svevo
1923

a 22
able 3
about 3
abstain 1
accepts 1
accidentally 1
actually 1
ada 12
addiction 2
admires 1
advancement 1
advancements 1
affair 2
affection 1
afraid 1
age 1
alberta 3
alfio 1
all 1
also 2
always 1
amount 1
an 4
and 55
angry 1
anna 2
another 2
answers 1
antonia 2
are 1
around 1
as 13
asks 3
aspiring 1
attempt 2
attempts 2
augusta 7
autobiography 1
avail 1
away 2
bad 1
bald 1
basis 1
be 5
beauty 3
because 4
becomes 4
bed 2
before 1
beginning 1
begins 2
being 1
believe 1
between 2
bit 1
blocks 1
bodies 1
both 2
bought 2
bourse 3
breaks 1
brother 1
brought 1
business 3
businessman 1
but 5
buy 1
by 5
can 3
carla 6
carmen 1
case 1
causes 2
certification 1
chapter 1
chapters 1
child 1
chronological 1
cigarette 4
cigarettes 2
cigars 1
circulation 1
cites 1
claims 2
clinic 1
closer 1
clutches 1
comes 1
comfort 1
commits 1
company 2
compared 1
compassion 2
complex 1
consciousness 1
contracts 1
convinced 1
couples 1
court 2
crazy 2
credit 1
crumble 1
cure 1
current 1
dates 2
daughter 2
daughters 1
day 1
days 2
death 4
debts 1
deceives 1
decides 3
describes 1
destroy 1
destruction 1
destructive 1
deteriorate 1
developing 1
deviation 1
dialect 1
diary 3
dies 1
differences 1
different 1
diminish 1
discontinuing 1
do 2
doctor 8
doctors 4
does 6
drafting 1
due 1
during 1
dying 1
each 2
effects 1
ends 1
escapes 1
even 4
evening 1
events 1
eventually 1
exchange 1
expresses 1
face 1
failing 1
fails 1
fake 1
fakes 1
falls 1
fatal 2
father 13
fatherinlaw 1
fever 1
few 2
finally 5
first 5
fishing 1
follow 1
for 11
four 1
free 1
friends 2
from 6
full 2
funeral 1
future 1
gain 2
gambles 1
gambling 1
get 2
gets 2
giovanni 2
girl 1
give 1
given 1
goes 3
good 1
gravely 1
great 1
greatly 1
grown 1
guido 15
habit 1
had 1
hair 1
halfsmoked 1
handsome 1
harmony 1
has 7
have 1
he 40
head 2
heal 1
health 2
help 3
her 5
him 11
himself 2
hire 1
his 38
history 1
how 1
however 5
human 1
humans 1
hurt 1
ill 1
imagined 1
imagines 1
important 1
in 15
increases 1
instance 1
instead 3
intelligent 1
interested 1
into 1
invent 1
is 29
it 7
itself 1
joke 2
knows 1
large 1
last 6
learn 1
left 1
lies 1
life 5
likes 1
little 2
live 1
looking 1
loses 2
losses 1
love 4
loves 1
luciano 1
make 1
malfenti 3
malfentis 2
man 1
mankind 1
marriage 2
married 1
marry 1
marrying 1
mass 1
meanwhile 1
meet 1
meets 5
memoirs 1
men 1
merchant 1
middle 1
misrepresents 1
misses 1
mistress 1
momentarily 1
money 3
more 4
moved 1
moving 1
mr 1
much 1
must 2
my 2
named 2
natural 1
new 1
next 1
night 2
no 1
not 10
note 1
notion 1
novel 1
numbers 1
obsession 1
obsessively 1
oedipus 1
of 23
off 1
official 1
often 1
on 9
one 6
only 2
order 1
other 1
out 3
over 1
pages 1
paragraphs 1
particular 1
partnership 1
passes 2
patient 1
perfect 1
period 1
person 1
plagued 1
plain 1
playing 1
poor 1
poorly 1
positions 1
possible 1
powerful 1
presented 1
problem 1
profit 2
prolong 1
proposed 1
proposes 3
psychoanalysis 1
published 2
quarters 1
quit 3
quite 1
reaches 1
real 1
realize 1
realizes 1
recovers 1
regains 1
regards 1
rejected 1
rejects 1
relate 1
related 1
remembers 1
resembles 2
restless 1
revenge 1
rival 1
roll 1
sadness 1
sane 1
saying 1
says 1
see 1
selection 1
self 1
serious 1
set 1
setbacks 1
setting 1
shame 1
she 4
shifts 1
shows 1
sick 1
sickness 4
since 1
singer 1
single 1
slaps 1
smoke 2
smoked 1
smokes 1
smoking 2
so 2
sodium 2
sold 1
son 1
soon 6
speaks 2
speier 1
spends 1
stands 1
start 1
starting 1
starts 5
states 1
staying 1
steal 1
steals 1
stock 1
stolen 1
structured 1
successful 1
sudden 1
suffering 1
suicide 2
surprises 1
takes 1
tells 1
that 15
the 49
them 1
theme 1
then 3
thereafter 1
they 3
think 1
thinking 1
this 6
though 1
three 1
time 4
times 1
to 43
tobacco 1
together 1
too 1
trace 1
treat 1
tries 2
trieste 2
trip 1
true 1
truly 1
trying 1
tuscan 1
twenty 1
two 3
uncomfortable 1
unsuccessful 1
up 5
veronal 5
very 4
visit 1
visiting 1
visitsthe 1
wants 1
war 2
weakness 1
weapon 1
weapons 1
well 1
when 6
while 5
whim 1
who 9
whom 1
wife 3
will 3
wished 1
with 8
work 1
workers 1
works 1
world 3
would 1
write 1
writes 1
written 1
young 1
zeno 33
