11071741
/m/027txk0
/m/027txk0
Ian McEwan
2007
{"/m/02xlf": "Fiction"}
160s 1
162 2
a 5
an 3
and 10
another 1
are 2
at 1
attitudes 1
available 1
awakening 1
backgrounds 1
beach 1
became 1
been 1
before 3
behaviour 1
being 1
both 1
bound 1
britain 1
by 1
case 1
change 1
chesil 1
code 1
contraceptive 1
couple 2
course 1
daughter 1
dawning 1
despite 1
development 1
different 2
disastrous 1
dorset 1
drastically 1
during 1
edward 3
era 1
evening 1
eventually 1
experience 1
florence 3
focuses 1
for 1
from 1
futures 1
generation 1
gifted 1
has 1
have 2
honeymoon 1
hotel 1
in 7
industrialist 1
intelligent 1
intimacy 1
irrevocably 1
is 2
july 1
just 1
kingdom 1
last 1
leads 1
lecturer 1
love 2
marriage 3
married 1
mayhew 2
motivated 1
much 1
musically 1
never 1
novel 1
of 9
on 1
oxford 1
personalities 1
philosophy 1
pill 1
ponting 2
possibly 1
pregnancy 1
prospect 1
ran 1
rash 1
reflect 1
relationship 1
represent 1
results 1
risk 1
schoolmaster 1
seashore 1
sex 2
sexual 2
sexually 1
small 1
social 1
son 1
spending 1
taste 1
terrified 1
that 1
the 16
their 6
this 2
though 1
to 1
united 1
unwanted 2
upbringing 1
upon 2
very 1
was 1
wealthy 1
when 1
while 1
who 1
will 1
with 2
would 1
year 1
