16763654
/m/0405bgc
/m/0405bgc
Sophie Kinsella
2000
50 1
5000 1
a 41
about 2
abroad 1
abruptly 1
absentmindedly 1
accept 1
accepted 1
account 2
actually 1
advice 1
after 5
agenda 1
agrees 1
all 2
also 1
always 1
an 4
and 34
angry 1
announces 1
another 3
any 1
appearance 1
appearing 1
are 2
arguing 1
aristocratic 1
around 1
arrange 1
arranged 1
arrives 1
arriving 1
article 3
as 11
ask 1
asks 6
assistant 3
at 12
aunt 5
back 2
bank 11
banking 1
bargain 1
based 1
bathroom 1
be 5
became 1
becky 37
becomes 2
been 1
before 1
being 2
best 2
better 1
birthday 1
blabs 1
bloomwood 1
book 1
borrow 1
bought 2
brandon 10
broken 2
bumps 1
business 2
but 8
buy 3
by 7
called 1
calls 1
can 5
cannot 1
cant 1
card 3
cards 1
carriage 1
change 1
charity 1
cheque 2
chequebook 2
children 1
choose 1
client 1
clock 1
coffee 2
come 2
comments 1
communications 4
compliments 1
conceded 1
conference 4
considers 1
constantly 1
content 1
continue 1
continues 1
cousins 1
craved 1
credit 3
culpable 1
customers 3
cycle 1
date 1
day 1
daytime 1
dead 1
debt 2
deceased 1
decision 1
defrauded 1
denny 3
department 1
derek 2
did 1
died 1
different 1
dinner 2
discount 1
do 1
door 1
down 1
due 1
duplicity 1
during 2
easily 1
eat 1
eligible 1
elly 2
embroiders 1
emphasises 1
employer 1
end 2
enjoys 1
erica 1
errand 1
etc 2
even 2
excited 1
excuse 1
excuses 3
exposes 1
extraordinary 1
eye 1
fact 1
fashionable 1
feels 2
feign 1
feigning 1
fell 1
field 1
fifteenth 1
fill 1
finances 1
financial 4
finds 1
firm 1
flagstaff 1
flat 1
flatmate 1
flicking 1
food 1
for 17
friend 2
friends 1
from 3
fulham 1
further 1
george 3
get 4
gets 2
getting 1
gift 1
girlfriend 1
given 3
gives 1
go 1
goes 3
going 1
granger 1
greeted 1
group 1
had 4
halfway 1
hand 1
happen 1
happening 1
happens 1
harrods 1
has 10
have 1
having 1
he 12
head 1
hears 1
held 1
helping 1
her 44
hide 1
him 3
his 4
hold 2
home 1
horrified 1
hospital 1
hotel 1
house 1
idea 1
if 5
in 8
including 2
initially 1
insistent 1
instance 1
instead 1
into 3
investment 1
invites 1
is 24
isnt 1
it 6
items 2
job 1
jobs 1
journalist 1
just 4
keep 1
kindly 1
knew 1
know 1
knowledge 2
later 1
lavish 1
leads 1
learns 1
leave 1
leaves 1
left 1
leg 1
letters 1
lied 1
life 1
liked 1
list 2
lives 1
london 1
long 1
longer 1
look 1
looking 1
losing 1
lot 1
luggage 3
luke 15
lying 1
made 2
magazine 2
make 2
man 1
manager 4
meet 1
meeting 4
member 1
mentions 1
millionaire 1
millionaires 1
miss 2
mistake 1
money 2
more 2
morning 2
mortified 1
mother 1
mr 2
named 1
necessary 2
needing 1
needs 1
neighbors 2
news 2
next 1
night 1
no 3
none 1
not 8
note 1
notices 1
now 1
obvious 1
of 20
off 1
offer 1
offered 1
offering 1
office 2
often 1
on 15
once 1
one 2
only 2
opinion 1
opportunity 1
or 2
out 7
overdraft 2
overspending 1
owned 1
painfully 1
parents 3
partly 1
people 1
plan 2
planned 1
playfully 1
point 1
poorly 1
possibly 1
postponed 1
pound 1
pounds 4
pr 1
present 1
presents 1
press 3
pretense 1
problems 1
puddings 1
purchase 1
quite 2
range 1
rationalises 1
realizes 3
realizing 1
really 1
rebecca 1
receive 1
receives 1
recently 2
referring 2
refuses 1
regular 2
reluctantly 1
repay 1
repayment 1
representing 1
reserve 1
respect 1
restaurant 1
resulting 1
retrieve 1
return 1
returns 1
reveals 1
rich 1
richest 1
right 3
ritz 2
rosy 1
rumored 1
runs 1
sacha 1
sale 2
same 1
savings 1
saw 1
say 1
saying 1
says 1
scarf 6
schedule 1
see 1
seeming 1
sees 3
selection 1
send 1
sent 1
set 2
sets 1
setting 1
she 28
shop 3
shopping 2
show 2
sign 1
slot 2
smeath 4
sneaks 1
so 3
solve 1
some 3
sound 1
spending 1
square 1
staff 1
staffer 1
stalker 1
stand 1
still 1
stops 1
store 1
story 2
success 1
successful 1
such 1
sure 1
surprising 1
suspicious 1
suze 3
takeover 2
tarquin 8
teachers 1
television 2
telling 1
tells 3
that 26
the 62
their 4
them 2
then 2
there 5
they 7
things 2
this 3
thought 1
thousands 2
through 2
throughout 1
time 1
to 40
together 1
treated 1
treating 1
trying 3
twenty 3
type 1
unable 3
unfortunately 2
unique 1
until 3
up 8
upcoming 1
upon 2
upset 1
used 1
very 4
violin 1
visa 1
was 6
way 2
wealthy 1
week 1
what 2
wheeling 1
when 2
which 2
while 4
who 5
whole 1
why 1
will 4
windfall 4
window 1
with 10
woman 1
wondering 1
works 2
would 2
writes 2
writing 1
wrote 1
yet 1
