23971209
/m/076y1rm
/m/076y1rm
Sue Townsend

{"/m/02xlf": "Fiction"}
3 1
a 7
add 1
adrian 4
afford 1
alarming 1
all 1
already 1
also 1
an 1
and 6
apartment 1
appearance 1
are 1
as 1
assumption 1
aware 1
be 1
bed 1
been 1
both 1
braithwaite 1
but 1
buy 1
call 1
can 1
cap 1
converted 1
countryside 1
daisy 1
daughter 1
dean 1
discovers 1
door 1
dr 1
fallacy 1
flame 2
for 1
forced 1
further 1
george 2
go 1
gone 1
has 4
he 2
her 1
him 3
his 8
how 1
ignites 1
impaired 1
into 1
is 5
it 1
jeremy 1
knows 1
kyle 1
lavatory 1
leading 1
leaving 1
loathes 1
longs 1
makes 1
marriage 1
meanwhile 1
memories 1
might 2
miseryhe 1
mole 1
mortgage 1
mother 1
move 1
multiply 1
mystery 1
neither 1
next 1
night 1
now 1
numerous 1
of 4
off 1
offspring 1
old 1
on 2
one 1
only 1
other 1
out 1
pair 1
pandora 1
parents 1
passion 2
paternity 1
pauline 2
phone 1
pigsty 1
prostate 2
quarter 1
ravishing 1
reignite 1
riverside 1
save 1
semidetached 1
shared 1
she 1
show 1
solve 1
street 1
suspect 1
symptoms 1
that 3
the 9
their 1
they 1
thinks 1
times 1
to 12
trouble 2
unable 1
wellingtons 1
who 1
wife 1
with 1
wonder 1
worries 1
yet 1
