1875542
/m/062yyp
/m/062yyp
Ismail Kadare

a 8
act 1
against 1
age 1
albanian 2
albanians 1
among 1
amongst 1
an 3
and 4
another 1
are 1
as 4
at 3
becomes 1
book 3
both 1
bridge 5
bureaucrats 1
but 1
by 3
captured 1
catholic 2
characters 1
clearly 1
construction 1
crime 1
describes 1
e 1
event 1
events 2
ever 1
face 2
fight 1
filled 1
for 2
forces 1
front 1
gjon 4
him 1
horrifying 1
ignorance 1
immured 1
important 1
in 5
inside 1
invasions 1
is 8
it 4
itself 1
keqe 1
larger 1
less 1
major 2
make 1
man 1
monk 1
more 1
mostly 1
name 1
northern 1
of 8
one 2
or 1
order 1
plaster 1
principalities 1
prior 1
prissy 1
punishment 1
recounts 1
river 2
sabotage 1
sacrifice 2
seen 1
significant 1
squabbling 1
startling 1
story 1
surrounds 1
symbol 1
take 1
territory 1
than 2
that 2
the 18
their 1
they 1
this 1
though 1
threat 1
time 1
tiny 1
to 4
told 1
transformations 1
true 1
trying 1
turkish 1
ujana 1
undergo 1
understand 1
unforgettable 1
ungiven 1
unhappy 1
used 1
value 1
vengeance 1
volunteer 1
were 1
when 1
who 2
with 1
without 1
work 1
