3892164
/m/0b5f88
/m/0b5f88
Patricia Wrightson

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
5000 1
a 4
acre 1
an 1
ancient 1
and 3
area 1
arrival 1
as 1
australia 1
australian 1
boy 1
brent 1
brings 1
called 1
cave 1
charlie 1
city 1
clearing 1
comes 1
cousins 1
creature 1
creatures 2
discovers 1
drawn 1
dreamtime 1
edie 1
featured 1
from 1
greenscaled 1
gunai 1
he 1
heavy 1
his 1
hunter 1
in 5
include 1
intent 1
involves 1
is 2
known 1
kurnai 1
land 1
legends 1
life 1
live 1
machinery 1
mischievous 1
mitchell 1
mother 1
named 1
nargun 2
national 1
now 1
nyols 1
of 4
ominous 1
on 3
or 1
orphaned 1
other 1
park 1
people 3
property 1
remote 1
river 1
second 1
set 1
sheep 1
simon 1
station 1
stone 1
story 2
the 14
to 2
tree 1
tribal 1
turongs 1
valley 2
variety 1
victoria 1
waterspiritpotkoorok 1
who 1
with 1
wongadilla 1
