538998
/m/02mzwq
/m/02mzwq
A. E. W. Mason
1902
{"/m/08sdrw": "Adventure novel"}
13 1
188 1
1882 2
1885 1
26 1
a 11
abou 1
action 1
acts 1
ahmed 1
aided 1
along 1
an 1
and 14
arab 1
arabi 1
as 6
at 2
back 3
battle 1
becomes 1
been 2
best 2
blinded 1
blindness 1
briefly 1
british 4
broken 1
but 1
by 5
called 1
came 1
campaign 1
captain 2
captured 2
castleton 2
censure 1
centered 1
changes 1
characters 1
charles 1
civilian 1
col 1
colonel 1
commission 1
comrades 1
cowardice 1
critics 1
cure 1
delivery 1
dervishes 1
determined 1
devote 1
disguised 1
durrance 5
east 2
eastern 1
egypt 2
egyptians 1
encourage 1
england 1
escape 1
ethne 6
eustace 1
event 1
expedition 1
explains 1
faced 1
father 1
fatma 1
feather 2
feathers 3
feversham 1
fiance 1
filmed 1
first 1
for 5
force 1
forces 1
fourth 1
friend 2
from 2
future 1
garnet 1
gave 1
general 2
george 1
germany 1
gets 1
giving 1
gordon 2
governor 1
greek 1
guided 1
had 1
harry 7
has 3
he 8
held 1
herself 1
him 3
himself 3
hinted 1
his 14
holy 1
honour 1
imposing 1
imprisoned 1
in 9
invalided 1
irish 1
is 8
it 1
its 1
january 1
just 1
khartoum 1
killed 2
known 1
last 1
later 1
letters 1
lieutenant 1
lieutenants 1
line 1
loses 1
lost 1
mad 1
mahdi 1
mainly 1
major 1
making 1
might 1
mission 1
moreover 1
motives 1
muhammad 1
musician 1
next 1
novel 2
of 9
officer 1
omdurman 2
on 4
one 2
only 1
over 1
own 2
pasha 1
perforce 1
place 1
presents 1
pretense 1
prior 1
proclaimed 1
questions 1
raised 1
reconnaissance 1
recovers 1
redeem 2
regiment 2
reportedly 1
rescues 1
resigns 1
resolution 1
restored 1
retired 1
returns 1
rich 1
rising 1
rival 1
seek 1
sees 1
she 2
signified 1
sir 1
six 1
square 1
story 3
suakin 1
subplots 1
success 1
sudan 2
sudanese 1
sunstroke 1
support 1
suppress 1
surrey 1
sutch 1
take 2
taken 1
takes 1
talks 2
tamaiwhere 1
tells 1
that 2
the 23
then 1
they 1
theyve 1
this 1
three 2
time 1
to 17
too 1
travel 1
travels 2
trench 3
trim 1
true 1
turn 1
version 1
versions 1
wait 1
war 1
was 1
wed 1
well 1
were 1
when 1
where 4
which 4
white 1
who 4
will 1
willoughby 2
with 5
wolseley 1
years 1
