5624292
/m/0dwy1k
/m/0dwy1k
Kelley Armstrong
2003
a 19
abilities 1
able 3
about 4
across 1
activity 2
adam 1
after 2
align 1
all 1
also 3
always 1
an 3
and 35
another 1
any 1
apparent 1
are 9
area 1
armen 1
arrive 1
arrives 1
as 8
associate 1
associates 1
astral 1
at 1
attacked 1
attacks 1
attempt 1
attempts 1
attend 1
away 1
back 2
bag 1
battles 1
bauer 4
be 3
because 2
becomes 3
been 4
before 2
befriended 1
begins 1
behind 1
being 1
beings 1
believe 1
believecom 1
beside 1
bitten 1
block 1
body 1
bring 1
brings 1
brunswick 1
building 1
but 6
by 7
calls 1
canada 1
captive 1
capture 1
carmichael 2
casts 1
cell 2
changing 1
chased 1
claim 1
claims 2
clay 6
clear 2
closes 1
clothing 1
colleagues 1
come 1
compound 5
confronting 1
conspiracy 1
contact 2
control 1
could 1
council 5
credence 1
curtis 1
day 1
dead 1
death 1
decline 1
declines 1
designed 1
determine 1
devise 1
dinner 1
disable 1
disabled 1
discover 1
discovers 1
discussion 1
disturbing 1
do 1
doctor 1
does 1
dogs 2
door 1
during 1
elena 19
elevator 1
enter 2
entering 1
escape 2
escapes 1
evades 1
exist 1
existence 1
extremely 1
fight 1
find 2
finds 3
first 2
follow 1
followed 1
following 2
for 6
forced 1
forces 1
foremost 1
fought 1
free 1
from 2
get 1
given 1
goes 1
group 2
guards 2
had 1
haig 1
halfdemon 1
handle 1
hard 1
has 5
have 2
having 2
he 5
head 1
headed 1
helping 1
her 10
herself 3
him 3
his 5
home 1
houdini 1
how 1
however 2
hunts 1
if 2
in 11
infirmary 2
information 1
injects 1
interest 1
interested 1
interracial 2
into 2
involved 1
is 21
isaac 1
it 4
its 2
itself 1
jeremy 3
join 1
katzen 2
kenneth 1
kidnapped 3
kill 2
killed 5
kills 2
knew 1
know 1
lake 1
lawrence 1
lead 1
leah 4
leave 1
left 1
levine 1
like 1
loses 1
lure 1
make 1
makes 1
malfunction 1
many 2
mark 1
matasumi 1
matters 1
measure 1
meeting 3
meets 1
members 1
men 3
military 1
more 1
morning 1
mother 1
named 1
necessary 1
new 1
next 2
nicknames 1
night 2
no 1
not 4
now 1
obsessed 1
of 15
offer 1
on 5
one 3
only 7
opportunity 1
or 1
other 3
others 3
out 1
own 1
pack 4
paige 4
participate 1
particularly 1
patrick 1
pennsylvania 1
people 1
photographs 1
pittsburgh 2
plan 1
plays 1
point 1
poltergeist 2
posting 1
prepared 1
prevented 1
priority 1
prisoner 1
prisoners 1
problems 1
projection 1
prove 1
provides 1
purports 1
put 1
reacts 1
really 1
residents 1
responsible 1
return 1
revealed 1
role 1
run 3
ruth 4
safety 1
saliva 1
savannah 6
sedate 1
shaman 3
she 10
shown 1
skeptical 1
skimpy 1
sleep 1
snatch 1
so 2
some 1
sondra 3
sound 1
specifically 1
spell 1
stalker 1
stop 1
story 2
such 2
supernatural 1
supernaturals 1
suspicious 1
system 1
taken 3
takes 2
teleport 1
telling 1
temporarily 1
temporary 1
that 13
the 58
their 1
them 1
themselves 2
theories 1
there 4
these 1
they 10
this 1
those 1
three 3
to 35
told 1
track 1
training 1
transferred 1
traps 1
travelling 1
trying 1
tucker 1
turning 1
two 1
ty 1
tyrone 4
unable 1
up 2
vampires 1
vehicles 1
virginia 1
wanting 1
was 1
watch 1
way 1
wear 1
website 1
well 2
were 1
werewolf 1
werewolves 3
when 4
where 1
which 2
while 1
whilst 1
who 4
whom 1
winsloe 8
winterbourne 1
winterbournes 1
witch 2
witches 1
with 11
wolf 1
women 2
working 1
works 1
young 1
zaid 1
