15640736
/m/03nndnq
/m/03nndnq
Perihan Mağden
2002
{"/m/05hgj": "Novel"}
a 2
academic 1
achieves 1
age 1
air 1
all 1
and 9
angst 3
apartment 1
are 1
as 1
attached 1
away 1
backgrounds 1
beautiful 2
becomes 1
behiye 3
boazii 1
bodies 1
both 1
boys 1
but 1
by 3
call 1
chance 1
changed 1
city 1
conservative 1
continues 1
cultural 1
damaged 1
different 1
difficulties 1
does 1
drastically 1
economic 1
endure 1
enter 1
entrance 1
evident 1
exams 1
expectations 1
face 1
family 1
form 1
found 1
full 1
get 1
gets 1
girl 2
girls 1
handan 3
has 2
her 6
however 1
implications 1
impossibility 1
in 4
intense 1
into 1
is 4
istanbul 1
life 1
lives 1
longing 1
meanwhile 1
meets 1
men 1
most 1
mother 1
moves 1
murdered 1
naive 1
not 1
of 6
oppressed 1
oppressions 1
oppressive 1
paingivingly 1
peer 1
prestigious 1
problems 1
realizes 1
rebellious 1
relationship 3
rid 1
romantic 1
several 1
she 1
short 1
sisterly 1
social 1
step 2
story 1
take 1
teenage 1
the 6
their 3
this 2
time 1
to 4
unidentifiable 1
uniting 1
university 2
well 1
when 1
which 1
who 1
with 1
word 1
