27240951
/m/0bwmmqp
/m/0bwmmqp
Lin Carter

a 4
all 1
and 5
as 2
authorities 1
band 1
battle 1
begins 1
between 1
both 1
but 1
by 4
callisto 2
captives 1
cave 1
chief 1
climactic 1
conflict 1
covered 1
deposed 1
devoured 1
dominated 1
during 1
ended 1
ends 1
escape 1
events 1
eventual 1
evil 1
faction 1
father 1
flees 1
fomenting 1
for 2
from 1
girl 1
happily 1
he 1
head 1
her 1
his 1
hostages 1
hunting 1
in 4
intent 1
is 4
jovian 1
jungle 1
kidnapped 1
lankar 1
last 1
lately 1
limited 1
lover 1
malcontents 1
mind 2
moon 1
most 1
of 8
on 1
one 1
or 1
out 1
party 1
people 2
plesiosaur 1
power 1
previous 1
pursued 1
race 1
refuge 1
rival 1
river 2
seizes 1
series 1
storyline 1
strengthening 1
survivor 1
take 1
territory 1
thanator 1
the 19
threat 1
threatening 1
to 2
together 1
tomar 2
traditional 1
tribe 2
tribes 1
two 1
villainous 1
volume 1
war 1
were 1
when 1
which 1
wiped 1
with 2
wizard 1
wizards 1
ylana 4
young 1
