25583540
/m/09rwsr7
/m/09rwsr7
Alison Goodman
2008-08-01
12 1
2 1
4 1
a 19
able 1
about 1
absence 1
actually 1
adds 1
against 2
ages 1
alive 1
all 10
allied 1
almost 2
also 1
altogether 1
ambition 1
an 1
ancient 1
and 27
another 1
appears 1
appointed 1
apprentice 1
apprentices 1
approve 1
are 2
arena 1
art 1
as 8
ascendant 1
ascending 1
at 2
attempt 1
baby 1
back 1
bad 1
battle 2
be 5
bear 1
bears 1
because 1
become 1
becomes 1
been 3
begins 1
belief 1
believe 1
between 1
bid 1
black 2
bloodthirsty 1
bodyguard 1
born 1
both 1
bow 2
boy 1
brannon 2
break 1
brings 1
brother 1
brothers 1
bullied 1
bunch 1
but 6
by 3
candidates 2
cannot 3
ceremonial 1
ceremony 1
chance 1
chooses 2
choosing 1
circumstance 1
civil 1
claim 1
clarity 1
clear 2
close 1
combat 1
comes 1
common 1
communicate 1
compassion 1
confrontation 1
consults 1
continues 1
corrupted 1
council 1
country 1
create 1
cripple 1
crippled 1
crowds 1
current 2
cycle 1
dark 1
day 1
death 2
decoding 1
dela 5
demonstrated 1
desperation 1
despised 1
detailing 1
dillon 5
disability 1
disappears 1
discourage 1
discovered 1
discovers 1
distance 1
does 2
dominance 1
dragon 16
dragoneye 5
dragoneyes 3
dragonpowered 1
dragons 4
drawn 1
due 2
dwindling 1
earth 1
embodies 1
emperor 5
empire 1
energy 1
enormous 1
eon 5
eona 12
escalates 1
escape 2
except 2
eye 1
face 1
faces 1
fades 1
failed 1
favour 1
feat 1
female 1
females 1
final 1
find 3
finds 2
five 1
flees 1
folio 5
for 13
forbidden 1
force 1
fortune 1
four 1
friend 2
from 1
fury 1
gender 1
girl 1
given 1
good 2
grows 1
grudge 1
hallucination 1
harnessing 1
has 10
have 1
he 4
healing 1
heavens 1
heir 2
hell 1
her 9
here 1
herself 1
heuris 2
high 1
him 1
himself 2
his 13
holds 1
hope 1
hoping 1
horrified 1
how 1
however 4
human 1
hundred 1
ido 9
if 1
impossible 1
in 12
including 1
increasingly 1
injured 1
insane 1
instead 1
into 2
is 21
islander 1
it 5
itself 1
just 1
keeper 2
killed 1
killing 1
knowledge 1
kygo 2
lady 1
last 1
left 1
leg 1
library 1
lie 1
life 1
limping 1
links 1
living 1
looking 1
lord 6
lost 3
luck 1
magic 2
make 2
man 1
master 3
masterminded 1
meanwhile 1
meets 1
men 1
message 1
midst 1
minds 1
mirror 6
misfortune 1
more 1
mounting 1
mounts 1
much 1
name 4
named 1
normal 1
not 3
number 1
odds 1
of 20
off 2
old 1
omen 1
one 2
only 3
oppose 1
order 1
orders 1
other 5
out 2
over 2
own 1
pain 1
palace 1
panics 1
pearls 1
performances 1
pieces 1
places 1
plan 1
poisons 1
possible 1
power 5
practice 1
practise 1
practised 1
pray 1
prince 2
proceed 1
process 1
professorlibrarian 1
properly 1
protagonist 1
provide 1
proxy 1
pupil 1
puts 1
queen 1
quickly 1
rat 2
realises 2
red 3
reign 1
remaining 1
restless 1
return 1
returns 1
revokes 1
river 1
ryko 3
saves 1
screams 1
script 1
secret 1
see 2
seems 1
seized 1
selected 1
sethon 3
she 9
sight 1
sixteenyearold 1
size 1
small 1
smallest 1
so 1
soon 2
spirit 1
struggle 1
studying 1
summons 1
suspects 1
takes 1
talking 1
tension 1
terrible 1
that 7
the 74
their 3
them 2
themselves 1
then 1
they 3
things 1
this 7
those 1
though 1
throne 1
throws 1
thus 1
to 30
together 2
too 1
trainer 1
trainers 1
tring 1
trio 1
trouble 1
true 2
trust 1
truth 1
try 2
twelve 2
two 3
unbeknownst 1
under 1
unheard 1
united 1
unlucky 1
upon 1
use 1
war 1
warfare 1
wealth 2
when 1
which 2
who 12
will 2
wishes 2
with 6
without 1
woman 1
women 1
wounded 1
written 1
years 2
