779075
/m/03bnx1
/m/03bnx1
Nick Cave
1989
{"/m/039vk": "Gothic fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 3
abusive 1
ah 1
among 1
an 4
and 7
angel 1
angelic 1
animal 1
as 1
ass 1
bears 1
beatings 1
born 1
boynarrator 1
by 1
cave 1
could 1
cruel 1
dangerous 1
drawl 1
drunken 1
entire 1
euchrid 4
eucrow 1
even 1
exact 1
fanatically 1
fanaticism 1
father 3
fractured 1
hatred 1
have 1
his 6
horrible 1
i 1
in 2
inbreeding 1
increasingly 1
indifference 1
inevitable 1
inturned 1
kill 1
life 1
loathing 1
made 1
madness 1
maim 1
mind 1
moonshine 1
mother 2
mute 1
narrated 1
nearly 1
obsessed 1
of 5
on 1
one 1
or 1
outcast 1
outsiders 1
pain 1
people 1
person 1
phonetically 1
raised 1
religious 1
renders 1
saw 1
scorned 1
silent 1
southern 1
story 1
teems 1
tells 1
terrible 1
the 6
this 1
to 3
torture 1
town 1
traps 2
ukulites 1
unrelenting 1
unwary 1
valley 1
vengeance 1
visions 1
who 1
will 1
wit 1
with 2
words 1
world 1
