24813025
/m/080jh9w
/m/080jh9w
William Makepeace Thackeray
1859
{"/m/0hwxm": "Historical novel"}
a 2
against 1
also 1
american 1
an 1
and 2
arms 1
army 1
at 1
british 2
brother 1
capture 1
command 1
commission 2
entanglements 1
esmond 1
fighting 1
general 1
george 2
grandsons 1
he 1
henry 3
his 3
in 1
independence 1
is 1
it 1
lead 1
of 5
officer 1
older 1
on 1
outbreak 1
quebec 1
rather 1
resigns 1
revolutionary 1
romantic 1
side 1
story 1
take 1
takes 1
taking 1
tells 1
than 1
the 7
thereupon 1
to 1
twin 1
under 1
up 2
war 1
warrington 1
who 1
with 1
wolfe 1
woman 1
