3552124
/m/09l2jd
/m/09l2jd
Anita Diamant
1997-10
15 1
30 1
34 1
8 1
a 5
about 1
according 1
account 3
after 2
agree 1
all 2
also 2
although 1
and 20
another 1
appear 1
are 1
as 7
at 2
aunts 1
be 1
becomes 1
been 1
being 1
belle 1
between 2
bible 1
biblical 2
bilhah 2
birth 1
book 2
bride 1
brideprice 1
brother 1
brothers 5
but 4
by 6
capable 1
care 1
characters 1
circumcision 1
creative 1
cursing 1
death 1
defiled 1
depicted 1
described 1
dinah 7
displeased 1
domestic 1
downplays 1
duties 1
egypt 2
escapes 1
especially 1
estranged 1
events 1
expansion 1
family 3
father 3
feckless 1
females 1
finds 1
fit 1
for 2
forgiven 1
forgotten 1
genesis 2
gentle 1
genuinely 2
gives 1
go 1
gossiping 1
griefstricken 1
hamor 1
has 1
he 2
her 10
here 1
his 2
horrified 1
how 1
if 1
in 8
incapacitated 1
include 1
including 1
is 4
jacob 5
jewish 1
joseph 1
kind 1
king 1
knife 1
laban 1
leah 4
learns 1
levi 1
lives 1
living 1
local 1
love 2
loves 1
male 1
mature 1
men 1
minister 1
mother 2
murdered 1
murderous 1
not 1
now 1
number 1
of 15
offers 1
on 1
one 1
opens 1
other 2
pain 1
patriarch 1
people 1
prime 1
prince 4
prominent 1
quartet 1
quiet 1
rachel 3
rampage 1
readers 1
reconciles 1
recounting 1
red 2
remembers 1
rescue 1
rite 1
rivalry 1
royalty 1
ruti 1
second 1
see 1
seen 1
serious 1
servants 1
she 7
shechem 2
shechemites 2
shortly 1
simeon 1
simon 1
sister 2
sitting 1
so 1
something 1
son 1
sons 1
spelled 1
story 2
taking 1
tell 1
tent 2
testy 1
that 3
the 27
their 2
then 1
they 2
time 1
to 6
treacherously 1
treated 1
tribe 2
under 1
undergo 1
union 1
unite 1
visits 2
was 1
well 1
where 1
while 1
who 1
wife 1
will 1
willingly 1
with 5
zilpah 2
