1673640
/m/05mcd6
/m/05mcd6
Craig Thomas
1977-08-08
{"/m/017rf8": "Techno-thriller", "/m/02xlf": "Fiction"}
3000 1
5 1
a 9
ability 1
able 1
accidentally 1
advanced 1
after 1
aimed 1
air 2
aircraft 6
allowing 1
almost 1
already 1
also 1
american 2
an 7
and 8
are 3
armed 1
as 1
assistance 1
attaining 1
barents 1
base 2
be 1
being 2
bilyarsk 1
book 3
but 1
by 7
capable 1
capture 1
captured 2
cia 1
code 1
cold 1
completely 2
confront 1
cong 1
continues 2
controlled 1
covertly 1
cruiser 1
deals 1
decoy 1
defeated 1
destroy 1
destroys 2
details 1
developed 2
dissidents 2
dominate 1
down 1
during 1
east 1
enemy 1
escapes 1
exacerbated 1
excess 1
experiences 1
explosion 1
faced 1
failed 1
fictional 1
fighter 2
fired 1
firefox 4
first 2
flare 2
flight 1
floe 1
fly 1
focuses 2
form 1
free 1
from 1
gant 8
give 1
given 1
guerrillas 1
having 1
he 4
heading 1
help 1
here 1
highly 1
his 6
how 1
ice 1
ideally 1
immediately 2
impromptu 1
impulses 1
in 3
includes 1
including 1
ingested 1
intake 1
internal 1
is 5
it 2
its 1
jet 1
journey 2
kerosene 1
launch 2
low 1
mach 1
makes 3
mi6 1
mig 2
mig31 2
miles 1
military 1
missiles 1
mission 1
mitchell 1
more 1
mountains 1
name 1
napalm 1
narrowly 1
nato 1
nearly 1
network 1
north 1
novel 1
of 14
on 7
one 1
only 1
or 1
ordeal 1
orders 1
other 1
out 1
penetrate 1
pilot 2
plane 2
planes 1
prearranged 1
project 1
prototype 3
pursuing 1
pursuit 1
radar 1
range 1
rapidly 1
reconnaissance 1
reflexively 1
refuel 1
refueled 1
rendezvous 1
runway 1
russia 1
russian 1
scarred 1
scientists 1
sea 1
second 3
section 2
shot 1
skies 1
some 1
soviet 4
speeds 1
steal 3
stealth 1
strike 1
submarine 1
successfully 1
sympathizers 1
system 1
tactics 1
technology 2
that 2
the 34
them 1
then 1
thought 1
thoughtcontrolled 1
to 14
towards 1
trained 2
travels 1
triggering 1
two 2
undetectable 1
union 1
ural 1
using 1
ussr 1
very 1
viet 1
vietnam 1
war 1
way 1
weapon 1
weapons 1
when 2
which 3
will 1
wiped 1
with 7
working 1
