9800816
/m/02pslsm
/m/02pslsm
Julia Peterkin


a 3
abandoned 1
among 1
an 2
and 3
appears 1
around 1
as 2
auntie 1
basic 1
be 2
beginning 1
ben 1
between 1
budda 1
but 1
by 1
carolina 1
century 1
character 1
church 1
clearly 1
conflict 1
country 1
crippled 1
date 1
description 1
desire 2
established 1
good 1
gullah 1
hannah 1
her 2
in 4
is 3
life 1
live 1
low 1
mary 4
maum 1
member 1
never 1
novel 1
of 4
on 1
orphan 1
people 1
plantation 1
pleasure 1
raised 1
reflects 1
scarlet 2
set 1
sin 1
sister 2
son 1
south 1
standing 1
the 10
title 1
to 3
torn 1
twentieth 1
was 2
who 1
