10035958
/m/02p_l16
/m/02p_l16
Hal Clement
1950
a 20
ability 1
able 2
accepting 1
accident 2
actual 1
after 1
air 1
alien 6
ally 1
alternative 2
amazing 1
an 6
and 13
another 4
arrival 1
arrives 1
as 4
ascribe 1
assuage 1
at 3
attempts 1
attention 1
authorities 1
aware 1
away 2
be 2
because 1
becomes 1
been 2
begin 1
behavior 1
being 6
better 1
beyond 1
boarding 1
bob 14
body 2
both 2
boy 3
but 2
by 3
calls 1
can 2
cans 1
cant 1
carried 1
come 1
comes 1
communicating 1
confiding 1
confirms 1
consequences 1
convince 2
crash 2
crashes 1
creature 1
decline 1
detail 1
distracts 1
doctor 3
earth 1
empty 1
england 1
enough 1
entity 1
erstwhile 1
eventually 1
every 2
expected 1
explosion 2
eyes 1
father 4
fearful 1
feet 1
few 1
fifteenyearold 1
figured 1
find 3
finds 1
fine 1
fire 2
for 4
forced 1
form 1
fourpound 1
from 6
fugitive 1
full 1
further 1
get 1
goes 1
good 1
grabs 1
grades 1
green 1
guest 1
had 1
happens 1
harming 1
has 2
have 3
having 1
haystack 1
he 6
help 1
him 2
himself 2
his 12
hold 1
home 3
homesickness 1
host 4
hot 1
huge 1
human 3
humans 1
hunter 10
ill 1
in 13
industrial 1
initial 1
injured 1
inside 3
into 1
is 17
island 4
it 9
its 3
itself 1
jellyfish 1
killed 2
kind 1
kinnaird 4
knocks 1
know 1
known 1
large 1
leading 1
learns 1
least 2
letting 1
lifeform 1
lights 1
like 2
limping 1
little 1
live 1
look 2
looks 1
makes 1
making 1
man 3
many 1
middle 1
move 1
mr 3
nearest 1
needle 3
new 2
no 3
not 2
number 1
observing 2
ocean 1
of 15
oil 4
on 4
once 1
one 1
or 1
out 5
over 2
own 1
pacific 2
pain 1
panic 1
people 1
perhaps 1
piece 1
places 1
plot 1
pours 1
presence 1
produce 1
pursuit 1
puzzle 1
puzzlehow 1
quarry 4
races 1
remainder 1
removes 1
resembling 1
residence 1
resides 1
return 1
returning 1
riddle 1
risks 1
robert 1
safety 1
school 3
search 1
second 1
see 1
seek 1
sees 1
sent 2
ships 1
shocked 1
shore 1
shortly 1
show 1
simply 1
small 1
solution 1
solve 1
some 1
soon 1
spanking 1
start 1
stop 1
story 1
straw 1
studies 1
survive 1
symbiosis 1
takes 1
taking 1
teenage 1
tends 1
term 1
than 1
that 2
the 51
their 4
then 1
there 1
they 1
this 2
through 1
thus 1
time 2
title 1
to 25
together 1
turns 1
two 2
unconscious 1
unconsciously 1
up 3
upon 1
uses 1
very 1
vessel 1
way 4
western 1
what 2
when 1
which 1
who 1
will 3
with 5
within 3
without 2
worried 1
worse 1
would 1
wound 1
