7921592
/m/026k5nd
/m/026k5nd
Terrence McNally


a 3
about 1
aids 1
alien 1
an 1
and 2
are 1
as 1
at 1
birthday 1
biting 1
boys 1
brother 1
by 2
celebrate 1
characters 2
charades 1
cocktails 1
community 1
country 1
couples 2
crossword 1
desperate 1
died 1
divert 1
door 1
each 1
either 1
find 2
fire 1
fireworks 1
food 1
for 1
four 1
fourth 1
from 2
gay 2
her 1
house 1
houses 1
in 3
individual 1
inherited 1
island 1
isolation 1
its 1
jabs 1
july 1
little 1
men 1
monologues 1
more 1
mortality 1
new 1
next 1
of 4
on 2
only 1
or 1
other 1
others 1
own 1
partying 1
people 1
provides 1
puzzle 1
reveal 1
sally 1
sense 1
setting 1
side 1
spending 1
straight 1
the 9
their 2
them 1
themselves 2
these 1
they 1
through 1
times 1
to 1
two 2
unheard 1
unlikely 1
unseen 1
weekend 1
who 1
with 1
york 1
