3251656
/m/091b3c
/m/091b3c
Louis L'Amour
1973
{"/m/0hfjk": "Western"}
a 6
accompanied 1
after 2
although 1
an 2
ancestry 1
and 10
another 1
are 2
arrest 1
attacks 1
attempts 1
awakened 1
away 1
backtrack 1
bacon 1
be 1
becomes 1
been 2
being 2
believed 1
blamed 1
body 2
book 1
bought 1
boy 2
burned 1
but 1
by 5
captain 3
chantry 7
character 1
chased 1
colonies 1
come 1
consumed 1
crossing 1
davy 1
dead 2
death 1
directly 1
discovers 1
distance 1
early 1
encounter 1
encounters 1
end 1
fails 1
ferguson 2
fernandez 2
fire 1
for 2
from 1
girl 1
given 1
goes 1
going 1
group 2
gunshots 1
had 2
he 6
hears 1
him 4
himself 2
his 2
home 1
in 3
indians 1
informs 1
into 1
irish 1
irishman 1
is 5
it 1
journey 1
killed 2
known 1
land 1
leader 1
louisiana 1
main 2
major 1
man 1
medallion 1
meets 1
members 1
mexican 1
mississippi 1
morning 1
never 1
next 1
night 2
of 6
off 1
on 3
out 1
outfit 5
presses 1
purchase 1
quickly 1
realization 1
recovers 1
revealed 1
rifle 1
ring 1
river 1
ronan 1
searches 1
shanagan 1
solomon 1
son 1
spanish 2
stated 1
steal 1
takes 1
that 5
the 25
them 1
they 2
throughout 1
to 6
trappers 1
trespassing 1
troubles 1
trying 1
two 1
under 1
uniform 1
up 1
ute 1
utes 1
very 1
walksbynight 1
was 3
well 1
west 2
which 1
who 3
wife 1
wilderness 1
with 4
wolf 1
woman 1
