3959155
/m/0b8q4f
/m/0b8q4f
Anthony Horowitz
1991-03-14
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
18 1
a 23
abbey 1
aboard 1
about 1
actually 1
affiliated 1
after 4
afternoon 2
afterwards 1
alive 1
all 3
although 1
and 33
announces 1
another 1
anything 1
apparently 1
appear 1
approaches 1
are 3
arranged 1
arrest 1
arrested 2
arrives 1
articles 1
as 4
at 5
attempting 1
attempts 2
aware 1
back 3
backpack 1
barter 1
be 4
been 2
before 3
befriend 1
being 1
believing 1
bell 1
big 2
boat 1
bomb 3
boyle 5
brother 1
brothers 1
brought 1
building 1
bullets 1
burns 1
but 10
buying 1
by 7
can 1
captured 2
car 2
carbuncles 1
caught 1
cell 1
charges 1
chase 3
chases 1
chelsea 1
class 2
cleared 1
come 1
confrontation 1
controls 1
could 1
dead 1
decide 1
decides 1
delinquent 1
derelict 1
despite 1
destroy 1
destroyed 1
detention 2
determined 1
diamond 1
dies 1
discover 2
dismisses 1
doesnt 1
doing 1
door 1
doorbell 1
drives 1
during 1
earlier 1
ed 3
end 2
ends 1
enemy 1
entrance 1
escape 4
evade 1
except 1
explains 2
fence 7
field 1
find 3
flat 2
following 1
follows 1
for 6
framed 2
freedom 1
french 2
from 5
gain 1
gang 2
gangster 1
get 2
go 4
going 1
gone 1
goods 1
grab 1
gun 1
had 6
hall 2
has 3
have 2
he 18
heads 1
help 1
helps 1
henchmen 2
hideout 2
him 14
himself 1
his 7
home 1
hope 1
house 2
if 2
impales 1
in 9
inmate 1
innocent 1
intending 2
into 3
is 18
it 1
johnny 19
jumps 1
just 2
juvenile 1
keep 1
kill 2
killed 3
know 1
known 1
knows 2
leader 2
leading 1
leads 1
leave 1
leaving 2
lesson 2
locked 1
london 1
loses 1
lost 1
loyalty 1
ma 3
major 1
man 2
manages 1
many 1
matches 1
men 2
mission 1
months 1
morning 1
mother 1
must 1
nearby 1
nearing 1
nearly 1
needs 1
newlyinstalled 1
nick 36
night 1
not 1
now 1
number 1
objects 1
of 9
off 2
offenders 1
officers 1
on 5
one 2
only 1
operation 1
out 1
over 2
overhears 1
palis 13
paragraph 1
passes 1
penelope 6
person 1
petrol 1
police 7
powers 5
previous 1
prison 2
prove 1
public 1
realises 3
recalling 1
refuses 1
related 1
remembers 1
request 1
rescues 1
reside 1
reveal 1
revenge 1
rigged 2
river 1
roof 1
room 2
rope 1
run 1
rung 1
saves 2
school 2
secret 1
see 2
seeing 1
seen 2
sees 1
selling 1
sentenced 1
serving 1
share 1
simple 1
snape 6
sneaks 1
so 1
soon 3
starts 1
station 2
stay 1
stays 1
steal 1
still 1
stolen 2
storing 1
story 2
strangeday 2
subsequently 1
subway 1
surely 1
survive 1
survived 1
suspicious 1
take 1
teacher 1
telling 1
tells 1
thames 1
that 16
the 50
their 1
them 1
then 2
there 3
they 8
through 3
thrown 1
tie 1
tied 2
tim 9
to 36
told 1
touch 1
track 1
tracks 1
train 4
translate 1
trip 1
troubles 1
trust 1
truth 1
trying 1
tube 1
tunnel 2
ultimately 1
under 1
until 1
up 2
uses 1
using 1
valuable 1
visited 1
wanted 1
wants 1
wapping 3
was 1
wastes 1
watch 1
went 1
when 2
where 3
wherever 1
which 1
while 2
who 5
whole 1
whom 1
will 1
with 13
woburn 2
wondering 1
working 1
young 1
