7656303
/m/02680m1
/m/02680m1
Zilpha Keatley Snyder
1966
{"/m/05hgj": "Novel"}
1 1
a 15
access 1
actresssinger 1
actual 1
afraid 1
after 2
again 1
allowed 1
along 1
an 1
and 15
answers 1
antiques 1
apartment 1
april 5
archaeology 1
are 4
as 2
at 2
august 1
authentically 1
az 1
became 1
because 2
been 2
begin 1
being 1
belief 1
board 1
book 1
boys 1
brother 1
building 1
busy 1
by 6
california 1
cannot 1
career 1
caroline 2
casa 2
child 1
children 6
christmas 1
classmate 1
completely 1
connected 1
continue 1
create 1
curious 1
de 2
death 1
destroyed 1
devise 1
discovered 1
discuss 1
dorothea 2
each 1
egypt 1
egyptian 2
egyptians 1
elizabeth 1
ends 1
enter 1
essential 1
fascination 1
feel 1
fence 1
few 1
finally 1
finds 1
followed 1
for 2
four 1
friends 1
from 1
game 5
gift 1
girl 1
girls 1
gives 1
grandma 1
grandmother 1
gypsies 1
gypsy 1
hall 1
halloween 1
happen 1
happening 1
has 3
he 5
help 1
her 6
him 2
his 3
history 1
hollywood 1
horrific 1
how 1
identity 1
if 1
imagination 1
in 10
incident 1
intended 1
interesting 1
interpreted 1
into 2
intrigued 1
involved 1
involving 1
is 7
it 1
its 2
join 1
joined 1
ken 1
key 1
large 1
least 1
less 1
live 1
lives 1
locked 1
longer 1
looking 1
loose 1
makes 1
man 1
marshall 2
melanie 5
merchandise 1
met 1
months 1
more 1
mother 2
moves 1
murdered 1
murderer 1
mysterious 2
myths 1
neighborhood 2
new 1
nine 1
no 1
now 1
octopus 1
of 10
old 2
on 1
once 1
one 1
or 2
oracle 1
outdoors 1
outside 1
own 1
owner 1
particularly 1
percep4tion 1
play 1
playing 4
popular 1
possibility 2
practices 1
professor 2
raising 1
reading 1
recently 1
reclusive 1
recreated 1
reproduce 1
research 1
restricted 1
results 1
return 1
revealed 1
rituals 1
rosada 2
saw 1
secrecy 1
secret 1
security 1
sent 2
september 1
series 1
shares 1
she 1
should 1
shouted 1
sisters 1
six 1
snyder 1
so 1
some 1
sometime 1
spanish 1
staying 1
stop 1
storage 2
store 2
stuffed 1
surreptitiously 1
systems 1
tells 1
that 3
the 26
their 2
them 2
there 1
they 6
things 1
this 1
thoth 1
through 1
time 1
to 7
toby 1
too 1
town 1
true 1
two 2
university 1
unnerved 1
up 1
used 1
was 3
watching 1
what 1
where 1
which 1
who 3
whole 1
whom 1
widower 1
wife 1
with 8
wonders 1
writing 1
yard 2
year 2
younger 1
