770215
/m/03b1vv
/m/03b1vv
Carrie Fisher
1987
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 12
able 1
about 1
actors 1
actress 1
addict 1
addiction 1
addressed 2
after 2
alex 1
all 1
alternate 1
alternating 1
among 1
an 2
and 17
anniversary 1
another 1
anyway 1
appears 1
are 1
around 1
as 5
asserts 1
at 1
author 2
available 1
be 1
becomes 1
begin 1
being 1
between 1
birthday 1
bittersweet 1
blame 2
book 3
bringing 1
brother 1
brought 1
burroughs 1
business 1
but 6
by 2
came 1
cares 1
changes 1
chided 1
clinic 1
coming 1
commentary 1
conflict 1
consisting 1
consists 1
contacted 1
continues 2
convenience 1
could 1
crew 2
date 1
dating 1
days 1
dealer 1
describe 1
describes 1
detox 1
dialog 2
dialoguemonologue 1
disappointed 1
disconnected 1
divided 1
doctor 2
doesnt 2
doing 1
drug 2
drugs 3
each 1
encapsulates 1
ends 3
enough 1
entries 1
epilogue 1
epistolary 2
excerpts 1
experience 1
experiences 2
few 1
fifth 1
first 3
firstperson 1
five 1
flattered 1
for 5
form 2
fourth 1
friend 2
from 6
gag 1
given 1
gives 1
going 1
good 1
graduation 1
grandmother 1
grandparents 1
green 1
guy 1
had 1
handle 1
has 1
have 1
he 1
help 1
her 18
here 1
herself 2
him 1
his 1
how 3
humor 1
i 6
if 1
im 1
in 11
industry 1
initial 1
inquires 1
internal 1
into 1
is 16
isnt 1
it 6
jack 2
journal 1
kept 1
knows 1
last 1
later 1
lawyer 1
learning 1
left 1
letter 1
life 5
lot 1
made 2
main 1
mainly 1
maybe 1
me 1
meetings 1
meets 1
monologues 1
mooning 1
most 1
mother 2
movie 5
much 1
my 8
myself 1
narrative 3
necessarily 1
nervous 1
normal 1
not 4
note 1
notes 3
novel 2
now 1
number 2
of 10
off 1
okay 1
on 5
one 1
onscreen 1
opens 1
order 1
out 2
outside 1
over 1
overdose 2
parties 1
party 1
phone 3
postcards 1
probably 1
producer 1
progression 1
prologue 1
prop 1
pumped 2
purpose 1
put 1
quilt 1
recently 1
rehab 2
relationship 3
relax 1
relaxing 1
reviewer 1
revolves 1
room 1
running 1
same 2
satin 1
satirical 1
scenes 1
second 1
section 6
sections 2
seeing 2
serves 1
she 17
shouldnt 1
show 2
shows 2
someone 1
sort 1
stays 1
still 1
stomach 2
story 1
stressful 1
studio 1
successful 1
surprised 1
suzanne 18
talk 1
talks 1
television 1
terms 1
that 7
the 34
their 2
then 1
therapist 2
therapy 2
there 2
they 1
thinks 1
third 1
thirdperson 2
this 4
three 1
time 1
to 16
today 1
together 1
traditional 1
treatment 2
tries 1
trust 1
turned 1
underwear 1
unlike 1
vale 1
vein 1
velvet 1
very 1
was 2
washed 1
week 1
well 1
went 1
whether 1
while 3
who 5
with 11
without 2
working 1
wouldnt 1
written 1
