6030706
/m/0flgbs
/m/0flgbs
Lois Duncan

{"/m/014dfn": "Speculative fiction"}
a 2
ability 1
accepted 1
according 1
after 1
all 1
also 1
ancient 1
and 7
any 1
are 2
artists 1
at 3
attempts 1
attend 2
before 1
best 2
better 1
blackwood 3
boarding 1
building 1
but 1
channel 1
connect 1
consists 1
contact 1
country 1
create 1
dark 1
despite 1
devises 1
died 1
disturbed 1
duret 4
each 1
either 1
emanating 1
escape 1
excels 1
faculty 1
famous 1
far 1
farley 1
feels 1
find 1
for 4
forced 1
former 1
friend 3
from 2
further 1
gets 1
gift 1
glimpsing 1
grades 1
had 1
having 1
help 1
her 6
in 1
individually 1
is 5
jules 1
kit 6
learning 1
learns 2
level 1
lives 1
locks 1
lost 2
lynda 2
madame 3
madams 1
masterpieces 1
math 1
minds 1
mother 1
none 1
of 2
only 2
or 1
originally 1
other 1
out 1
outside 1
painting 1
piano 2
place 1
plan 1
planned 1
poetry 1
professor 1
remarried 1
restored 1
room 1
ruth 2
sandy 2
school 2
she 2
shown 1
something 1
son 1
specialty 1
students 4
talent 1
talents 1
taught 1
teaches 1
telepathically 1
that 3
the 8
their 4
there 1
three 1
to 7
tracy 3
unique 1
upon 1
using 1
wasnt 1
which 1
who 2
with 3
writes 1
young 1
