11598381
/m/02rl25x
/m/02rl25x

2002
{"/m/05hgj": "Novel"}
a 19
about 1
after 6
again 1
an 1
and 11
aneurysm 1
another 1
are 5
as 4
away 1
be 1
become 1
before 1
beginning 1
being 3
better 1
blackening 1
blackface 2
bloodstained 1
bolts 1
brain 1
but 1
by 2
captor 2
care 1
carolina 1
cart 2
causing 2
child 1
claim 1
clothes 1
comes 2
coming 1
concludes 1
conditions 2
conscious 1
couple 1
crafts 1
crooked 1
day 1
death 1
despite 1
dies 1
discomfort 1
discovered 2
discovers 1
during 1
each 1
effect 1
escape 3
escort 1
experience 1
explanation 1
facial 1
facilitates 1
fairskinned 1
family 1
field 1
fields 1
flee 1
flees 1
focuses 1
following 1
for 4
forced 1
forest 1
found 1
girl 1
gloomy 1
go 1
great 1
group 1
hannah 15
hannahs 3
has 2
hears 1
help 1
henry 2
her 12
herself 1
hetty 2
his 1
home 1
horace 1
horse 1
hosts 1
house 4
hunters 1
identity 1
important 1
imprisoned 1
imprisonment 1
in 5
incident 1
indeed 1
informs 1
insane 1
insanity 1
instantly 1
is 11
it 2
join 1
killed 1
kind 2
kindly 1
know 1
large 1
later 2
lawyer 1
learn 1
learning 1
leave 1
ledge 1
lengthy 1
lock 1
lost 1
man 2
master 2
meet 1
middle 1
mistress 7
months 2
most 1
mother 1
moved 1
moves 1
mr 3
mrs 9
much 2
mulatto 1
murder 1
new 2
news 1
night 2
north 2
notices 1
novel 1
observing 1
of 15
off 1
old 3
on 3
one 2
or 1
ordered 1
originally 1
other 1
others 1
owner 1
part 1
party 1
passing 1
perfume 1
plantation 1
pleas 1
powder 2
previous 1
prison 2
punishment 1
raped 1
reacts 1
read 2
recently 1
recuperates 1
rejoins 1
replaces 1
reprimanded 1
returned 1
returns 1
revealed 1
runs 1
scene 1
secret 1
selfcentered 1
senile 1
sent 1
several 1
shack 2
she 3
skin 1
slave 6
slaves 1
slit 1
sold 1
some 1
starts 1
status 1
stay 1
strewn 1
subsequently 1
subtly 1
suffers 1
suspects 1
taken 1
taught 2
telling 1
temporary 1
that 7
the 37
their 3
them 2
these 1
they 2
this 2
throat 1
time 1
to 18
told 1
town 1
trader 2
transported 1
trappe 2
trappes 1
treats 1
trying 1
unable 1
unattractive 1
under 2
up 1
upon 1
vain 1
wakes 1
was 2
weapons 1
wedding 1
weeks 1
well 1
were 1
wheeler 4
when 1
where 3
white 1
who 6
wishes 1
with 4
woman 6
women 3
worsens 1
wright 1
write 2
years 1
young 2
