14950169
/m/03h2tzy
/m/03h2tzy
Kerry Greenwood
1989

a 1
about 1
after 1
an 1
and 2
andrews 1
asked 1
australia 1
be 1
being 1
bored 1
by 2
colonel 1
countryhouse 1
daughter 1
decisions 1
english 1
excuse 1
fear 1
few 1
fisher 1
for 1
future 1
grown 1
happy 1
have 1
having 1
her 2
honourable 1
husband 1
in 2
into 1
is 2
jewel 1
life 1
look 1
making 1
matter 1
may 1
melbourne 1
months 1
mrs 1
next 1
of 1
off 1
or 1
phryne 2
poisoned 1
promptly 1
put 1
record 1
relocates 1
robbery 1
she 1
so 1
social 1
solves 1
the 3
their 1
they 1
time 1
to 4
who 1
with 1
