4904437
/m/0ctfgh
/m/0ctfgh
Bernard Cornwell
2006-08-28
{"/m/098tmk": "War novel", "/m/0hwxm": "Historical novel"}
1811 1
8th 1
a 9
across 1
action 1
against 1
alliance 1
allies 1
already 1
also 1
ambassador 1
and 8
apart 1
appears 1
are 2
aristocrat 1
army 2
at 1
band 1
barrosa 1
battle 2
be 1
been 1
besieged 1
between 3
break 2
bridge 1
brigadier 1
britain 1
british 5
brother 1
brutal 1
by 6
cadiz 2
cdiz 2
chance 1
city 2
colonel 2
commanded 1
commander 1
deadly 1
disaster 1
drawn 1
driven 1
duke 1
during 1
employment 1
encounter 2
faction 2
fight 1
finds 2
first 1
for 2
force 1
forth 1
fortress 1
fragile 1
french 5
from 2
game 1
general 3
graham 1
grown 1
guadiana 1
have 2
heightened 1
henri 1
henry 1
him 1
himself 2
his 1
holding 1
however 1
in 5
into 2
intrigue 1
is 5
isolated 1
it 1
joint 1
keep 1
key 1
lapena 1
leaving 1
led 2
lifting 1
line 1
lord 1
love 1
major 1
man 1
marshal 1
means 1
meet 1
meets 1
men 1
mission 1
moon 1
murderous 1
no 1
of 10
only 2
opponent 1
out 1
overwintering 1
peninsular 1
place 1
portugal 1
pumphrey 1
refuse 1
regiment 1
remedy 1
richard 1
rifleman 1
river 2
running 1
sally 1
second 1
seeking 1
seeks 1
seems 1
shadowy 1
sharpe 5
siege 1
small 2
spain 1
spanish 4
spymaster 1
still 1
strongholds 1
struggling 1
survivors 1
take 1
takes 1
tensions 1
that 2
the 35
their 1
this 2
thomas 1
threat 1
threatening 1
time 1
to 12
town 1
united 1
up 1
upstart 1
vandal 3
various 1
victor 1
war 1
wellesley 1
wellington 1
when 1
which 1
who 1
will 1
winter 1
with 3
wonmdashby 1
young 1
younger 1
