9351543
/m/0285kyy
/m/0285kyy
Beatrix Potter
1911-10
a 26
able 1
about 5
accompanying 1
also 1
among 1
ample 1
an 3
and 30
andnocheese 1
another 2
answers 1
apron 1
are 2
as 3
aside 1
away 1
babies 1
back 1
be 2
bearlooking 1
because 4
bed 1
been 2
begins 1
belonged 1
below 1
beneath 1
big 1
bin 1
bird 4
birds 1
bitabread 1
bites 1
blows 1
bring 2
buried 2
bush 1
but 6
by 4
calls 1
campingout 1
campout 1
can 1
cannot 2
chase 1
chipmunk 3
chipmunks 1
chippy 6
chuckling 1
coaxes 1
cold 1
collect 1
collecting 1
comes 2
comfortable 1
coming 1
commotion 1
complain 1
concerned 1
confesses 1
continues 2
couple 2
course 1
creature 1
cuff 1
days 1
decides 1
deep 1
demand 1
difficulty 1
digging 1
diggingup 2
digs 1
disappearance 1
discovers 1
down 3
dress 1
drive 1
eat 1
emerges 1
enter 1
erupts 1
escape 2
eventually 2
ever 2
explanation 1
family 1
fastened 1
fat 4
fatter 2
fell 1
few 1
find 1
finds 1
flock 1
fly 1
for 5
forest 1
forgetful 1
fortnight 1
found 1
from 1
fruitlessly 1
full 1
get 1
gone 2
goody 6
great 2
grey 1
grow 1
grows 1
hackee 6
had 1
half 1
has 5
have 1
he 11
head 1
hear 1
her 8
hiding 1
him 7
himself 1
his 7
hoard 1
hoards 1
hole 5
hollow 2
home 4
how 2
huddling 1
hurries 1
hurry 2
husband 4
husbands 2
i 1
idea 1
ill 1
illustration 2
imitated 1
in 15
inside 1
into 1
is 10
it 4
jacket 1
keeps 1
kindness 1
kiss 1
knows 1
ladies 1
last 1
later 1
lays 1
leave 2
leaves 1
little 12
living 1
looking 1
lose 1
lost 1
luck 1
lumbering 1
make 2
makes 1
man 2
matter 1
mentioning 1
milne 1
mossy 1
most 2
mrs 2
much 1
my 2
mynuts 2
narrator 1
ndash 3
near 1
neighbourhood 1
nest 2
never 1
nobody 1
not 1
notice 1
noting 1
now 1
nuts 15
nutting 1
of 12
off 1
old 2
on 1
once 2
one 1
other 1
others 1
out 1
outside 1
over 1
padlock 1
pass 1
peck 1
perch 1
perhaps 1
pink 1
pooh 1
potter 1
provisions 1
quantities 1
quite 1
rain 1
raining 1
rattle 1
reader 1
red 1
refuses 2
regarding 1
remains 1
remember 1
reminds 1
removes 1
retrieve 1
robbing 1
root 2
runaway 1
rush 1
sacks 1
scratch 1
searches 1
seen 2
sees 1
set 1
several 1
shall 1
shower 1
silvertail 2
sing 1
singing 2
sings 1
sitting 1
small 1
so 1
spring 1
springtime 1
squeeze 1
squirrel 3
squirrels 4
still 1
stirs 1
store 1
stored 1
striped 1
stuff 1
stump 1
stumps 2
stunned 1
suffers 1
suggests 1
surrounded 1
suspect 1
take 1
tale 1
tall 1
tells 1
tending 1
tends 1
that 5
thatched 1
the 47
their 7
them 4
there 1
they 6
thinner 1
this 1
three 1
through 6
time 2
timmy 11
tiny 1
tiptoes 1
to 17
together 1
told 1
too 2
top 3
tree 11
treehole 1
treeleaf 1
trying 2
two 2
umbrella 2
uncomfortable 1
under 2
until 1
up 4
upon 2
use 1
very 1
was 1
we 1
wears 2
week 1
well 1
when 1
whenever 1
where 3
while 3
who 3
whobeendiggingup 1
wife 5
will 3
wind 1
winnie 1
winter 1
with 9
within 1
wonders 1
wood 1
woodpecker 3
work 1
working 2
would 1
you 3
