5599047
/m/0dvhwh
/m/0dvhwh
Nevil Shute
1956
a 15
about 5
accident 2
accounted 1
alcoholic 1
allow 1
along 1
although 1
american 1
amounts 1
an 4
and 12
are 2
artesian 1
as 3
at 2
australia 2
australian 2
be 2
bears 1
befriended 1
begin 1
best 1
beyond 1
black 1
both 2
bothering 1
boy 1
boysuch 1
brothers 1
but 4
by 3
called 1
care 1
children 3
citizens 1
comes 2
common 1
concern 1
concerned 2
concerns 1
confess 1
counting 1
course 1
crew 1
daughter 1
dead 1
develops 1
did 1
different 1
divorce 1
does 1
domestic 1
drunken 1
education 1
emigrant 1
england 1
english 1
enormously 1
even 1
eventually 1
excellent 1
exile 1
expect 1
expected 1
exploration 1
explorations 1
facility 1
falls 1
family 3
farming 1
fathers 1
feeling 1
field 1
final 1
finances 1
first 2
fit 1
flourish 1
for 3
friend 1
from 2
frombut 1
frontier 3
geologist 1
get 1
gets 1
girl 3
gives 1
great 1
halfcaste 1
has 3
have 1
having 1
hazel 5
he 6
her 4
his 1
home 1
how 1
impoverished 1
in 14
insists 1
is 12
it 1
its 1
judge 1
judgmental 1
keeps 1
killed 1
lack 1
laird 2
lairds 1
lands 1
large 1
larger 1
least 1
lie 1
life 1
lifestyle 2
likely 2
live 1
local 1
location 1
long 1
longer 1
love 2
loved 1
lunatic 2
marry 2
may 1
mobile 1
mollie 12
mollieto 1
mother 2
move 1
moved 1
much 1
neighbor 2
neighborand 1
never 1
no 1
not 3
notes 1
of 7
oil 1
on 4
once 1
one 2
onetime 1
oregon 1
other 1
outback 1
outlook 1
over 2
part 1
particularly 1
place 1
present 1
pride 1
produced 1
profitable 1
properly 1
prove 1
quantities 1
realize 2
regan 1
regans 2
region 1
relationship 1
remote 1
report 1
resemblance 1
returns 2
reveals 1
run 1
ruth 2
say 1
see 1
she 4
should 1
so 1
son 3
stanton 9
station 2
still 1
story 1
stump 1
suggests 1
take 1
taught 1
teenager 1
that 7
the 39
their 3
then 1
they 1
things 1
though 1
thoughhis 1
time 1
to 17
town 1
travel 1
tremendous 1
true 1
two 4
unconcerned 1
unconventional 1
unique 1
unsuccessful 1
very 3
want 1
was 1
water 1
wed 1
wedding 1
well 1
wellappointed 1
western 1
what 1
when 1
where 2
which 3
who 2
widow 1
will 3
wish 1
with 4
without 1
working 1
young 2
