911179
/m/03p472
/m/03p472
Gentry Lee
1991-09-26
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 11
aboard 1
acquiring 1
after 2
against 1
agency 1
aggressive 2
alien 1
all 1
along 1
an 3
ancient 1
and 11
annihilation 1
another 1
are 3
arrival 1
arrive 2
as 2
astronauts 3
at 3
back 2
based 1
be 1
become 1
begins 1
behavior 2
believe 1
benjamin 1
book 3
born 2
boss 1
by 3
catharine 1
characters 1
children 3
chosen 1
christopher 1
cliffhanger 1
colin 1
collect 1
colonist 1
colonists 1
colony 2
colossal 1
columbus 1
conflict 1
considering 1
constructors 1
control 1
convicts 1
counterattack 1
created 1
cylindrical 1
deep 2
des 1
despite 1
determines 1
discontent 1
does 1
earth 1
eight 1
eleanor 1
emergency 1
end 1
ends 1
erin 1
escalation 1
eve 1
eventually 1
everything 1
execution 1
expedition 1
find 1
five 1
follows 1
for 1
freedom 1
from 3
gather 1
genocide 1
go 1
group 1
guise 1
handful 1
heading 1
heads 1
her 1
hoax 1
however 1
human 2
humanity 1
humans 3
if 1
ii 3
iii 2
imminent 1
in 3
into 1
is 5
isa 4
its 4
jardins 1
joan 1
journey 2
kept 1
known 1
later 1
led 1
major 1
mara 1
maria 1
martian 1
massive 1
meanwhile 2
message 2
michael 1
mob 1
months 1
more 1
names 1
new 2
nia 1
nicole 1
nina 1
nine 1
node 2
not 1
observe 1
occupying 1
of 16
on 2
one 2
original 2
other 1
otoole 3
out 1
own 1
patrick 1
payload 3
physiological 1
picks 1
pinta 2
point 1
possible 1
powerless 1
prevent 1
promise 1
propaganda 1
races 1
rama 10
raman 1
receives 1
reception 1
refurbished 1
relationships 1
rendezvous 1
representatives 2
requesting 1
revealed 1
richard 1
ryan 1
santa 2
secret 1
seizes 1
selectively 1
selects 1
sent 1
sequentially 1
ships 2
signal 1
simone 1
sirius 1
size 1
solar 1
soon 1
space 2
spacecraft 2
species 2
star 1
start 1
starts 1
story 2
subdivided 1
subjected 1
system 1
tests 1
that 3
the 37
their 4
them 1
themselves 1
these 1
they 5
this 2
thousand 2
three 2
tiasso 1
time 1
to 8
tone 1
total 1
towards 1
transmits 1
trapped 1
twelveyear 1
two 2
under 1
unknown 1
unnoticed 1
up 1
upon 2
vicinity 1
wakefield 4
war 1
were 3
where 1
while 1
who 1
with 5
year 1
