309323
/m/01szfq
/m/01szfq
Felix Salten
1923
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 19
able 1
about 4
abused 1
after 6
again 2
age 1
ahead 1
aims 1
all 4
alone 4
aloof 1
also 2
always 1
an 1
and 29
animal 2
animals 1
another 4
antlers 2
any 1
approaches 1
are 2
as 4
at 4
aunt 1
avoid 1
avoiding 1
bambi 22
battles 1
be 1
bears 1
become 1
becomes 1
been 1
before 1
begins 2
being 2
believing 1
bleeding 1
blindly 1
body 1
born 1
both 1
buck 1
but 3
by 8
call 2
called 1
calling 1
calls 1
cared 1
caution 1
cautious 1
celebrate 1
circles 1
collapsed 1
confirms 1
confuse 1
continues 1
course 1
creatures 1
crying 1
cunning 1
dangerous 1
day 1
dead 2
deal 1
deer 5
defeats 1
die 1
disappears 1
doe 4
dogs 1
during 4
ena 1
encounter 2
encourages 1
end 1
enjoys 1
enough 2
enter 1
experience 1
exposed 1
express 1
faline 5
falsely 1
fathers 2
fawn 2
fawns 3
fear 1
feels 1
females 1
firearm 1
first 4
flees 1
for 10
forest 5
found 1
free 1
friend 1
friends 1
from 2
gets 1
girl 1
gobo 4
got 1
gray 1
great 1
grown 2
grows 1
halter 1
harassed 1
has 3
have 1
haven 1
having 1
he 20
her 3
hethe 1
him 22
himself 1
his 14
hoped 1
how 2
humanswhich 1
hunt 1
hunter 3
hunters 1
imitating 1
in 8
including 2
inhabitants 1
initial 1
is 17
it 2
joined 1
karus 2
keep 1
killed 3
killing 1
known 1
largest 1
late 1
later 3
learn 1
learned 1
learns 2
leave 3
leaves 1
leaving 2
life 1
live 1
longer 1
love 1
loved 1
loves 1
male 2
males 1
man 7
many 1
marena 3
mate 1
meadow 2
meet 1
meets 4
melancholy 1
men 2
midwinter 1
most 1
mother 9
my 1
nature 1
nearly 1
nettla 2
no 1
not 4
noting 1
novel 2
now 2
of 11
old 8
older 1
oldest 1
on 1
one 4
open 1
or 1
other 1
over 3
pity 1
place 2
playing 1
powerful 2
presumed 1
prince 6
princes 2
promising 1
quickly 1
raised 1
raises 1
rarely 1
recover 1
remain 1
reminded 1
returns 1
reunited 1
roe 1
ronno 2
runs 1
rushing 1
safe 3
saves 1
scolded 1
scolds 1
searching 1
second 1
set 2
several 2
share 1
she 2
shot 2
showing 1
shows 3
skips 1
snares 1
snow 1
some 1
son 1
speak 1
speed 1
spend 1
spending 1
sporting 1
spring 1
stag 4
stags 1
stay 2
still 1
stops 1
strong 1
subsequent 1
summer 3
takes 2
teaches 3
tells 1
term 1
terrifies 1
that 12
the 46
their 3
them 2
then 2
there 1
they 6
thicket 1
thinks 1
this 3
those 1
though 1
time 4
times 2
to 20
together 2
top 1
toward 1
towards 1
trails 1
traps 1
trip 1
twin 2
two 1
understands 1
until 2
use 1
used 1
various 1
walk 1
was 6
way 1
ways 1
weeks 1
welcome 1
were 1
what 1
when 8
where 1
which 1
while 3
who 6
winter 1
with 5
wonderful 1
wore 1
would 1
year 2
young 5
