2880770
/m/088sr9
/m/088sr9
Thomas Harris
1975
a 10
agent 2
aldrich 2
also 1
american 3
an 1
and 9
approaches 1
as 5
attack 2
attention 1
between 1
bitter 1
black 2
blimp 4
bomb 1
bombcarrying 1
bowl 1
by 3
call 1
carefree 1
catastrophe 1
chased 1
cheerful 1
civilians 1
commit 1
composed 1
conclusion 1
conspires 1
corley 1
country 1
court 1
dahlia 3
darts 1
david 1
deranged 1
detonate 1
dolphins 1
during 1
each 1
explosives 1
failed 1
fbi 1
film 1
flies 1
football 1
for 2
from 2
games 1
gondola 1
group 1
he 3
helicopters 1
him 1
his 2
housed 1
in 3
intelligence 1
intend 1
into 1
is 3
israeli 1
it 1
iyad 1
kabakov 1
lander 2
launch 1
led 1
longs 1
many 1
marriage 1
martial 1
miami 1
michael 1
million 1
mossad 1
movements 1
network 1
nfl 1
of 8
on 2
operative 1
over 2
own 1
packed 1
palestinian 1
palestinians 1
path 1
people 1
piece 1
pilot 1
plastique 1
plight 1
possible 1
prevent 1
prisoner 1
quarter 1
race 1
redskins 1
return 1
sam 1
secretly 1
sees 1
september 2
spectacular 1
stadium 2
steel 1
suicide 2
super 1
take 1
television 1
terrorist 1
the 19
their 1
them 1
they 2
to 6
together 1
torture 1
tulane 1
turn 2
underside 1
using 1
vietnam 1
wakeup 1
war 1
washington 1
weekend 1
which 1
who 1
will 1
with 2
world 1
years 1
