5260518
/m/0dbcnz
/m/0dbcnz
Paul Scott
1971-10
1 1
142 1
145 1
1st 1
2 1
3 1
a 45
abortion 1
about 7
above 1
accept 1
accepts 1
accident 1
accompanied 1
acquaintances 1
across 1
action 1
actually 1
affection 1
after 1
again 1
against 2
agrees 1
all 1
allowed 1
already 1
also 2
among 1
an 7
and 66
anguish 1
announce 1
announced 1
annuity 1
another 1
answer 1
any 2
anyway 1
apostle 2
appearance 1
are 8
aristocracy 1
army 3
arrangements 1
arranging 1
arrested 1
arrives 1
arriving 1
arthur 1
as 11
ask 1
asks 1
assumed 1
at 12
atomic 1
attack 1
attacked 1
attacks 1
august 1
away 1
baba 1
baby 2
back 1
background 1
barbie 29
barges 1
batchelor 1
battered 1
battle 1
be 9
because 1
become 1
becomes 1
been 5
before 2
begins 2
behave 1
behavior 1
being 7
believe 3
belonged 1
belonging 1
best 3
better 2
between 1
bicycle 2
bike 1
bingham 1
birth 1
birthday 1
bishop 1
blames 1
bomb 1
briefs 1
bronchopneumonia 1
brought 1
brutal 1
buffet 1
bungalow 2
buried 3
but 11
butterflies 1
buys 1
by 19
calcutta 4
can 2
cannot 3
captain 3
car 1
care 2
case 2
caught 1
cause 1
center 1
chalk 1
character 1
charges 1
child 3
childbirth 1
christening 1
christianity 1
church 1
clarissa 2
clark 1
class 1
clear 1
close 2
cloth 1
clothes 1
col 1
coley 5
colleague 1
colonel 1
come 1
comes 3
comfortable 1
coming 1
commissioner 1
committing 1
conceived 1
connection 1
consoled 1
control 1
copy 1
cottage 6
could 1
couple 1
crafty 1
crane 4
creates 1
crown 2
currently 1
daphne 7
dc 1
dead 1
death 3
decides 2
deeply 1
defies 1
deliver 1
delivered 1
descendant 1
detained 1
dibrapur 1
dies 3
difficult 2
dirt 1
disappeared 1
disappointed 1
disappointing 1
disloyalty 1
displayed 1
distant 1
distracted 1
disturbed 1
ditch 1
do 3
does 4
donates 1
door 1
down 4
drives 1
dumping 1
each 1
ears 1
edwina 5
efficiently 1
embarrassed 1
embarrassment 1
embedded 1
encounter 1
encounters 1
end 1
ends 1
engagement 1
english 2
enough 1
entrance 1
entreaties 1
especially 1
eternal 1
euphemism 1
evaluation 1
evening 1
events 3
evidence 1
excited 1
exploded 1
fable 1
fabric 1
face 1
fact 1
falls 1
families 1
family 2
fenny 7
fighting 1
finally 2
finding 1
finds 3
fire 2
first 1
flagstaff 1
flees 1
fluid 1
fool 1
for 15
forebears 1
found 1
fragility 1
friend 4
from 11
full 1
furiously 1
gaffur 1
gang 1
gave 1
generations 1
germany 1
gesture 1
get 3
gets 3
gift 5
gifts 1
girl 1
gives 4
giving 1
go 3
goes 2
going 2
gone 1
good 1
goods 1
gossip 1
gossiping 1
gown 1
grass 1
gratefully 1
grave 1
group 1
grown 1
guest 3
gupta 1
had 4
hard 1
hardly 1
hari 4
harshly 1
has 8
haunted 1
have 4
having 1
he 7
hearing 1
hears 1
heavy 1
held 1
helpful 1
helps 1
her 41
heroism 1
hills 1
him 2
himself 1
hindu 1
hiroshima 1
his 9
honeymoon 3
horror 1
hospital 4
house 3
houseboat 1
household 1
however 3
hurt 1
husband 2
idea 1
if 1
ill 1
important 1
imprisoned 1
imprisonment 1
in 48
india 1
indian 5
indians 1
inexperience 1
inexperienced 1
informs 3
injured 2
injury 1
innocent 1
inside 1
insistence 1
instinct 1
instructions 1
insult 1
intelligence 1
intends 1
interfering 1
interprets 1
intimately 1
into 4
intruder 1
investigates 1
is 40
it 11
its 1
james 1
japanese 2
jaundice 1
jewboy 1
jewel 2
jiffs 1
jimmy 1
john 1
just 3
kashmir 1
kerosene 1
knew 1
know 2
knowing 3
knowledge 1
kumar 2
labor 1
lady 3
large 1
last 1
late 2
later 2
layton 6
laytons 4
learn 1
learns 1
leave 1
leaving 1
left 1
let 1
letter 1
lights 1
like 2
load 2
loan 2
local 1
loses 1
love 1
lovers 1
lt 1
luncheon 1
mabel 9
made 3
make 5
makes 1
man 1
manner 1
manners 6
marked 1
married 1
material 1
maternal 1
mayapore 4
mean 1
means 1
meanwhile 1
meet 1
meets 1
member 1
mentally 1
merrick 15
mesmerized 1
mess 1
might 1
mildred 16
military 1
mind 1
mirat 5
miss 1
missionary 3
mob 1
mohammed 1
momentous 1
month 1
months 2
more 1
morgue 1
move 1
moves 1
much 1
murder 1
must 1
muzzafirabad 1
nanoora 1
napkins 1
national 1
nawab 4
near 1
nearby 1
nemesis 1
never 1
new 2
news 1
next 1
nice 2
night 2
no 2
not 9
notes 1
novel 2
now 1
obeisance 1
odd 1
of 57
off 3
offering 1
offers 1
officer 1
officers 2
often 1
old 5
on 13
one 5
only 1
onto 1
opens 1
or 1
order 1
other 3
out 3
over 2
own 2
painting 1
pandit 1
panics 1
pankot 13
parsees 1
part 1
parvati 1
pass 1
passing 1
past 1
paying 1
peculiar 1
pension 1
people 1
peplow 1
peplows 1
physically 1
picture 1
piece 2
place 2
planting 1
plead 1
pneumonia 1
poems 1
poet 1
police 1
position 2
possible 1
posting 1
pours 1
predicts 1
pregnancy 1
pregnant 1
premature 1
prematurely 1
preparations 1
present 1
presents 1
prisoner 1
problem 1
proposed 1
proud 1
proves 1
psychiatrist 2
put 1
puts 1
puzzled 1
quarters 1
quartersmate 1
quickly 2
quite 1
railway 1
rain 1
rainstorm 2
ranpur 4
rape 2
raped 1
rather 1
realizes 1
reassigned 1
rebukes 1
recent 1
recognizes 1
recovering 2
recovery 1
regard 1
regarding 1
regiment 1
rejects 1
relating 1
relationship 1
religious 1
remained 1
remembering 1
removed 1
report 1
residence 1
responsible 1
resulting 1
retire 1
retrieve 1
return 1
returning 1
returns 2
revealed 1
rifles 2
ring 1
