18335444
/m/04f0xln
/m/04f0xln
Gordon Korman
1982
a 18
across 1
actually 1
advise 1
against 1
all 2
along 2
although 2
an 1
and 22
anticipated 1
any 1
approval 1
are 1
arent 1
army 1
as 2
assistant 3
assistants 2
at 6
atmosphere 1
back 1
balloon 1
becomes 1
becoming 1
behaviour 1
boots 1
both 2
boy 1
bruno 5
building 1
but 1
c 1
calisthenics 1
called 1
calls 1
camp 1
cathy 1
coalition 1
code 2
comes 1
comic 1
committee 4
comrades 1
convincing 1
cottage 1
counterattacks 1
created 1
creates 1
danger 1
demerit 1
departure 1
device 1
dinners 1
dinosaur 1
disband 1
dishes 1
disrespectful 1
doing 1
dress 2
drimsdale 1
due 1
earthquakes 1
echelon 1
elmer 1
ensemble 1
even 1
eventually 1
everyone 1
exchange 1
exercises 1
expelled 1
fact 1
faculty 1
fault 1
few 1
find 1
finishing 1
firm 1
fix 1
flouting 1
for 7
forbidding 1
forces 1
formation 1
free 1
from 3
functions 3
genius 1
get 2
give 1
gradual 1
guest 1
gym 1
hall 2
hand 1
handle 1
harassment 1
have 3
he 5
headmaster 1
help 2
her 1
herself 1
himself 2
hires 1
his 7
however 2
idea 1
in 4
including 1
installing 1
institute 1
institutes 2
instituting 1
into 1
is 5
it 1
joining 1
ladies 1
large 1
line 1
loathes 1
macdonald 2
manage 1
marines 1
married 1
marry 1
months 1
morning 1
ms 2
napkins 1
new 7
newspaper 1
night 2
normal 1
not 1
number 1
of 14
off 2
office 1
on 1
only 2
order 1
orders 1
organizations 1
other 1
out 1
own 1
paper 2
participation 1
peabody 1
person 1
physical 1
pleased 1
presentation 1
press 1
printer 1
problems 2
program 1
prohibition 1
psychological 1
punishment 1
realizes 1
refuses 1
remove 1
resistance 2
rest 1
restricted 1
road 1
romantic 1
rule 1
schedules 1
school 6
schools 2
scope 1
scrimmage 3
share 1
she 1
software 1
soon 1
staff 1
standing 1
starts 3
stop 1
strict 2
student 1
students 4
sturgeon 3
supporting 1
system 1
takes 1
talking 1
teachers 1
teaching 1
tests 1
that 3
the 34
their 3
them 2
they 3
through 1
to 10
toilet 1
training 1
true 1
turn 1
turns 1
two 2
unaware 1
up 2
upper 1
walter 1
walton 1
wash 1
ways 1
what 1
while 1
who 3
with 5
without 1
wizzle 9
wizzleware 1
work 1
worst 1
write 1
wrote 1
year 1
young 1
