12768920
/m/02x42x7
/m/02x42x7
Sherwood Smith
1997-04-01
a 2
alike 1
alliances 1
and 6
are 2
at 2
brother 1
but 1
can 1
compared 1
could 1
countess 1
dance 1
defend 1
drawing 1
dying 1
enemies 1
father 1
fightingwith 1
fills 1
follows 1
for 1
friends 1
from 1
greed 1
growing 1
halls 1
her 2
if 1
illprepared 1
in 3
into 1
intrigue 1
is 3
king 1
knew 1
leads 1
learn 1
least 1
live 1
look 1
meliara 3
must 1
new 1
no 1
now 1
of 2
one 1
palace 1
peacetime 1
people 2
promise 1
protect 1
rooms 1
royal 1
secret 1
she 5
simple 1
summoned 1
survive 1
swears 1
that 2
the 6
their 1
them 1
they 2
threatens 1
to 5
trust 2
trying 1
very 1
war 3
way 1
what 1
where 1
which 2
whole 1
whom 1
will 1
wits 1
words 1
young 1
