20937938
/m/059__cj
/m/059__cj
José Saramago
2005

1st 1
a 9
about 1
afterlife 1
again 1
alike 1
all 2
also 1
although 1
amazingly 1
among 1
an 4
analyze 1
and 15
animals 1
announces 1
answers 1
any 2
apparent 2
are 2
as 7
at 2
authorities 1
avoid 1
based 1
be 1
becomes 3
been 1
begin 1
beholden 1
between 1
book 2
borders 1
bringing 1
brink 1
brought 1
burden 1
business 1
but 2
by 3
call 1
can 2
care 1
catatonic 1
catholic 1
ceased 1
celebrate 1
cellist 1
cessation 1
challenges 1
chosen 1
christ 1
church 1
citizens 1
collapse 1
common 1
complete 1
confusion 1
country 5
create 1
day 1
death 13
demographic 1
develops 1
devised 1
die 3
difference 1
discover 2
discovers 1
dogma 1
doing 1
dying 5
effort 1
elsewhere 1
encased 1
end 5
endeavor 1
ended 1
ends 1
enjoy 1
enough 1
envelope 1
eternity 1
even 1
events 1
eventually 1
every 1
experiment 1
face 1
fact 1
falls 1
families 1
fate 1
fear 2
feels 1
finally 1
financial 1
find 1
focus 1
foe 1
for 4
forced 1
form 2
foundations 1
frenzy 1
from 1
fundamental 1
funeral 1
generally 1
generations 1
give 1
giving 1
government 1
group 1
growing 1
guidance 1
hand 1
has 3
have 2
having 1
he 1
healthcare 1
her 1
here 1
him 6
his 1
homes 1
hospitals 1
however 2
human 2
immortality 1
implemented 1
in 7
incapacitated 2
industry 1
infatuated 1
initially 1
instantly 1
instead 1
intending 1
into 1
is 6
it 4
its 2
itself 1
january 1
jesus 1
joy 1
just 1
kill 1
killed 1
killing 1
kin 1
kindly 1
known 1
largely 1
leads 1
letter 3
letters 2
life 2
like 1
living 1
long 1
longtime 1
love 1
lowercase 1
mafia 1
man 2
mankind 1
maphia 1
maphioso 1
means 1
media 1
meet 1
merely 1
midnight 1
missive 1
mistakenly 1
more 3
move 1
moves 1
must 1
mysteriously 1
name 1
named 1
naturally 1
neighbors 1
new 1
newfound 1
next 1
no 4
not 5
now 1
of 21
on 4
one 5
only 1
opens 1
opposite 1
originally 2
other 1
otherwise 1
over 2
own 1
past 1
people 7
perish 1
personally 1
ph 1
philosophers 1
plans 1
point 1
populate 1
prepare 1
preparing 1
presents 1
presumably 1
problem 1
question 1
quickly 1
quite 1
reason 1
receiving 1
reemerges 1
relationship 1
relieving 1
religious 1
resurrection 1
returned 1
returns 1
scholars 1
sealed 1
send 1
sends 1
sent 1
she 5
shortlived 1
signify 1
sinister 1
so 4
soon 1
sources 1
spectre 1
started 1
still 1
stopped 1
story 1
stroke 1
system 1
takes 2
that 6
the 43
their 6
them 1
there 1
thereafter 1
these 1
they 2
things 1
this 6
those 1
though 2
threatened 1
through 1
time 2
to 19
traditional 1
turn 1
under 1
underground 1
unextraordinary 1
unique 2
universe 1
unknown 1
unspecified 1
upon 1
used 1
victory 1
violet 1
visiting 1
war 1
week 1
weight 1
where 1
who 2
why 2
will 8
with 7
without 1
woman 1
workers 2
working 1
would 1
