4992567
/m/0cywb8
/m/0cywb8
Paul Cornell

a 9
about 1
after 1
aids 1
also 1
and 12
as 1
attack 1
attacks 1
baby 1
be 1
become 2
blood 4
brain 1
but 2
by 2
can 2
captures 1
castle 2
caught 1
causing 1
change 1
child 2
command 1
companions 1
consort 1
contacts 1
control 1
controller 1
converts 1
created 1
crosses 1
cures 1
dawn 1
death 1
decides 1
die 1
distant 1
doctor 9
doesnt 1
doors 1
drawn 1
earth 1
enhanced 2
entering 1
etc 1
feed 1
fifth 1
fight 1
flight 1
force 1
free 1
freeze 2
freze 1
from 1
garlic 1
genetically 1
get 1
gives 1
harvest 1
has 2
he 1
her 6
him 2
himself 1
his 3
hold 1
hordes 1
however 1
humans 1
in 6
incinerates 1
informs 1
instead 1
into 4
invented 1
is 3
it 2
kill 1
learns 1
leaving 1
loop 1
lord 4
manages 1
materialize 1
mechanism 1
methods 1
mist 1
more 1
nature 1
new 1
night 1
normal 1
now 1
nyssa 5
of 4
offers 1
on 1
opens 1
out 1
own 1
perpetual 1
places 1
plan 1
planet 1
protect 1
provide 1
regenerate 1
resurrect 1
ring 1
rising 1
roam 1
ruath 10
sacrifice 1
scheme 1
sends 1
she 2
small 1
sucked 1
sun 1
survives 1
take 1
tardis 3
tasmania 1
tegan 1
that 3
the 25
themselves 1
they 1
those 1
time 9
to 15
traditional 1
trying 1
turn 2
turns 1
unable 1
up 1
use 2
vacation 1
vampire 7
vampires 2
vampiric 1
vampirism 1
vortex 1
want 1
where 2
which 1
while 2
who 1
will 1
with 1
yarven 7
