296644
/m/01rbjg
/m/01rbjg
Greg Egan
1998-07
{"/m/06n90": "Science Fiction", "/m/07g8l": "Transhumanism", "/m/05hgj": "Novel", "/m/03lrw": "Hard science fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
800 1
a 16
abandoned 1
about 1
advice 1
after 1
all 1
along 2
analysing 1
ancestors 1
and 13
another 2
any 2
appreciate 1
as 7
at 2
atlanta 1
atmosphere 1
attempt 1
back 1
because 1
begins 1
between 2
binary 1
birthing 1
bodies 1
body 1
brain 1
bridger 1
bulk 1
burst 4
by 4
carterzimmerman 1
cast 1
causing 1
characters 1
chemically 1
citizen 1
citizens 3
classical 1
cloned 1
clones 2
coalition 2
coerce 1
collapsed 1
collection 1
colony 1
come 1
computer 1
conference 2
consists 1
constellation 1
converted 1
copies 1
cosmic 1
cosmos 1
crystalline 1
cz 3
data 1
days 2
deployed 1
descend 1
description 1
destroying 1
detector 1
determines 1
devastating 1
devoted 1
diaspora 2
different 2
digital 1
diplomat 1
directions 1
discoveries 1
discovers 1
dismantle 1
early 1
earth 4
either 1
energy 2
enough 1
event 1
expedition 1
extinction 1
fail 1
failed 1
few 2
finally 1
flesher 1
fleshers 5
follows 1
for 1
forth 1
four 1
friend 1
from 3
fully 1
gamma 1
gathered 1
gathering 1
gleisner 3
gleisners 2
gravitationalwave 1
had 1
hardening 1
has 1
have 1
hope 1
huge 1
human 1
hundreds 1
in 6
information 2
inhabitants 1
inoshiro 3
instances 1
into 4
introdus 1
involving 1
irregularities 1
is 1
it 1
its 1
itself 1
karpal 2
konishi 1
kozuch 1
lacerta 2
last 1
later 1
least 1
light 1
likely 1
longheld 1
main 1
make 1
many 2
mass 1
masses 1
massmigration 1
matures 1
migrate 1
million 1
most 2
much 1
nanomachines 1
near 1
neutron 1
newborn 1
next 2
novel 2
of 21
offering 1
on 2
one 2
or 5
orbit 2
order 1
orphanogenesis 1
other 1
over 2
paranoid 1
physics 1
point 1
poisoning 1
polis 3
polises 5
portrayed 1
possible 1
predict 1
predictions 1
previous 1
quest 1
quickly 1
radiation 1
rapidly 1
ray 1
reach 1
reaches 1
realtime 1
record 1
refers 1
reject 1
relaying 1
releasing 1
rescue 1
return 1
revise 1
rotating 1
ruins 1
runs 1
same 1
seven 1
shelter 1
shortly 1
slow 1
some 1
stable 1
star 1
stars 1
starvation 1
states 1
static 1
stirred 1
subjective 1
subsequent 1
suffocation 1
survive 1
surviving 1
suspect 1
system 2
thanks 1
that 3
the 34
them 2
themselves 1
theory 1
this 2
thousand 1
throughout 1
time 2
times 1
title 1
to 17
toward 1
trick 1
understanding 2
undertaken 1
universes 1
up 1
upbringing 1
upload 1
uploaded 1
urge 1
urgency 1
use 1
using 1
virussized 1
visit 1
volunteers 1
way 1
which 2
will 1
with 2
within 3
without 1
yatima 6
years 4
