10742130
/m/02qnt7w
/m/02qnt7w


{"/m/06n90": "Science Fiction"}
a 5
adamas 1
after 1
also 1
an 1
and 5
around 2
as 2
at 1
awakens 1
bears 1
blood 1
cell 1
center 1
centers 1
characters 1
coma 2
covers 1
enters 1
events 1
experience 1
extremely 1
from 3
game 1
gaspard 1
girl 1
hackcell 1
hackgu 1
hackroots 2
happenings 1
haseo 1
her 1
herself 1
identical 1
in 2
is 4
it 1
later 1
main 2
meets 1
midori 9
mmorpg 1
most 1
name 1
new 1
notably 1
numerous 1
of 3
original 1
out 1
pc 2
pkers 1
place 1
plot 1
popular 1
premise 1
r2 2
realworld 1
result 1
revealed 1
same 1
selling 1
sentient 1
she 1
shimomura 3
silabus 1
some 1
story 1
such 1
taken 1
takes 1
that 5
the 12
time 1
to 2
version 1
virtual 1
was 1
who 2
with 1
witness 1
world 3
wouldbe 1
