4911008
/m/0ctt11
/m/0ctt11
Dean Koontz
1994
14 1
a 22
against 1
agency 4
agents 2
also 1
and 18
antagonist 1
are 1
at 1
attempts 1
back 1
backyard 1
barn 4
beam 1
been 1
bombards 1
by 2
caught 1
center 1
childhood 1
club 1
colorado 2
come 1
confront 1
confusion 1
corner 1
dellanima 1
desert 2
determined 1
disable 1
dog 2
embark 1
fatally 1
father 6
find 5
fiume 1
flies 1
fly 1
for 5
found 2
get 1
gets 1
government 2
grant 5
group 1
gun 1
had 1
has 1
he 8
heard 1
heat 1
helicopter 2
helping 1
helps 1
her 3
high 1
his 6
home 1
hospital 2
hostage 1
house 3
in 11
injured 1
injuries 1
inside 1
into 3
investigate 1
is 7
itil 1
keene 1
las 1
late 1
later 2
leave 1
leaving 1
life 2
location 1
looking 2
lovable 1
main 1
man 1
meanwhile 1
meets 1
mental 1
miro 1
months 1
named 1
nero 1
nevada 2
new 1
night 1
nightclub 1
noise 1
nonfatally 1
now 1
of 2
official 1
old 1
on 1
only 1
other 1
out 4
paralyzes 1
past 1
place 1
pursued 1
quest 1
ranking 1
rescued 1
resistance 1
rocky 1
roy 5
satellite 2
searches 1
secret 1
sending 1
sent 1
she 1
shoots 2
shopping 1
shot 1
some 1
spencer 11
starting 1
storm 1
swatlike 1
tainted 1
take 1
takes 1
team 1
that 1
the 20
them 1
then 1
they 1
to 14
together 2
torturing 1
use 2
valerie 9
vegas 1
visit 1
was 2
went 1
when 2
which 1
while 2
who 3
whom 1
with 1
woman 3
work 1
years 1
