6644670
/m/0gfyw5
/m/0gfyw5
William Boyd
2002
{"/m/05hgj": "Novel"}
10b 1
160s 1
187 1
a 32
about 2
acrimonious 1
admires 1
advises 1
affair 3
african 1
after 6
aged 1
alannah 2
alcoholic 1
along 1
also 1
america 1
american 1
amorous 1
an 13
and 23
anonymous 1
another 1
any 1
appreciation 1
art 1
artists 1
as 7
ask 1
at 6
atheism 1
attack 1
attempts 1
author 1
avoid 1
baadermeinhof 1
bahamas 1
barcelona 1
basement 1
battersea 1
be 1
become 3
becomes 2
been 1
before 2
begins 2
ben 5
bequeathed 1
biafran 1
biography 1
birth 1
bomb 1
book 2
boost 1
branch 1
brief 1
briefly 1
brusquely 1
but 4
buys 1
by 9
called 2
catholicism 1
cell 1
challenges 1
chelsea 1
childhood 1
civil 1
collapses 1
college 1
completely 1
conspirator 1
contemplates 1
continent 1
convert 1
cosmopolites 1
country 1
couple 1
critically 1
daughter 3
daughters 1
daze 1
de 1
dead 1
death 1
deaths 1
departs 1
depression 1
destitute 1
detectives 1
died 1
discover 1
discovers 2
division 1
divorce 1
does 1
duke 3
dull 1
during 1
earl 1
earliest 1
early 1
ecrivain 1
editor 1
edward 1
embarks 1
encounter 1
encounters 1
end 1
ends 1
england 2
english 2
enjoys 1
enters 1
escape 1
eventually 1
evidence 1
exhibition 1
existentialist 1
explains 1
factory 1
failed 1
false 1
farmer 1
father 2
fils 1
final 1
fingerprint 1
finish 1
first 3
fits 1
flat 3
fleming 1
following 1
follows 1
for 4
forthergill 1
france 1
french 2
freya 4
friend 2
friends 3
from 3
gallery 4
gang 1
get 1
girl 3
girlfriend 1
gives 1
gloria 1
golf 1
grieved 1
group 1
had 1
hall 2
harry 1
has 6
have 1
having 2
he 30
heart 1
henry 1
her 5
him 6
himself 1
hired 1
his 20
history 1
holiday 1
horror 1
hospital 1
hospitals 1
hour 1
house 2
human 1
humanism 1
ian 1
idle 1
ikiri 1
imaginings 1
in 22
income 1
incriminate 1
intelligence 1
interned 1
interrogation 1
intimates 1
into 3
introducing 1
is 15
it 1
jackson 1
james 1
janet 1
jew 1
job 1
joins 1
journal 1
judas 1
just 1
knocked 1
know 1
kollective 1
kooning 1
lake 1
land 1
lane 1
lapsed 1
last 1
later 2
lawyer 2
leave 1
leaves 1
lecturer 1
leeping 3
les 1
life 5
lighter 1
like 1
lionel 3
live 1
lives 1
living 1
local 1
logan 2
london 4
loses 1
lost 1
lottie 2
man 1
manage 1
manager 1
marriage 1
marries 2
meeting 1
meets 1
met 1
mildly 1
mind 1
mission 1
monday 1
monitor 1
montevideo 1
mother 1
mountstuart 17
move 2
moved 1
moves 4
mrs 1
murder 1
muses 1
naval 1
never 1
new 5
newlyweds 1
newspaper 1
nigeria 1
nineteen 1
norfolk 1
not 1
novel 2
novella 1
novels 1
now 3
oakes 2
obscure 1
octet 1
of 14
offers 1
office 1
old 4
on 12
or 1
ordile 1
out 1
over 1
own 1
owner 2
oxford 2
pages 1
paltry 1
paris 1
past 1
patients 1
pension 1
penury 1
peter 4
pimlico 1
playing 1
poets 1
pollock 1
poorly 1
pop 1
popular 1
portugal 1
post 1
preface 1
priest 1
prince 1
prize 1
prosecution 1
prospers 1
prostitutes 1
publicise 1
quickly 1
quotation 1
rape 1
realises 1
reconciles 1
recounts 1
recovers 1
recruited 1
refuge 1
refuses 2
regularly 1
rejected 1
religion 1
remarried 1
report 1
reports 1
respectable 1
retires 1
return 2
returns 3
reviewed 1
roman 1
rugby 1
salacious 1
say 1
scabius 2
scene 1
school 3
second 1
seduce 1
seeks 1
seller 1
sells 2
sent 2
series 1
set 1
settling 1
seven 1
sexual 1
she 3
shelley 1
short 1
simpson 2
sir 1
sixteen 1
slow 1
small 2
socialising 1
socialist 1
some 1
son 1
soninlaw 1
south 1
spanish 1
special 2
speeding 1
spk 2
split 1
state 1
statutory 1
staying 1
stella 2
success 1
successful 3
sudden 1
suggests 1
suicide 1
surprised 1
suspects 1
swearing 1
switzerland 1
team 1
term 1
tess 2
that 3
the 34
their 1
then 1
they 3
thinking 1
third 2
thorpe 1
to 35
together 1
told 1
town 1
trip 1
turn 1
turns 2
turpentine 1
two 4
unexpectedly 1
university 1
unstimulated 1
until 3
up 1
uruguay 1
uruguayan 1
v2 1
van 1
villa 1
village 2
virginity 1
visits 1
wallis 1
war 6
warm 1
was 2
well 3
when 2
where 3
which 3
whilst 1
who 2
whom 3
wife 2
willem 1
windsor 1
with 16
woman 1
word 1
working 2
world 1
writer 1
written 1
xv 1
years 1
york 3
you 1
young 2
zippo 1
