3818118
/m/0b1jqz
/m/0b1jqz
Carrie Fisher

{"/m/012jgz": "Autobiographical novel"}
a 3
about 1
aids 1
alzheimer 1
an 3
and 5
another 1
arrival 1
as 2
at 1
attorney 1
back 1
became 1
begins 2
bipolar 1
birth 1
book 1
boyfriend 1
breast 1
bud 3
by 2
came 1
care 1
child 2
comedy 1
completely 1
complicated 1
concerned 1
concludes 1
control 1
cora 9
cowriter 1
current 1
days 1
decides 1
during 1
dying 1
earth 1
efforts 1
eightandahalf 1
events 1
expectations 1
final 2
follows 1
for 1
friend 2
from 2
get 1
gone 1
grandfather 1
grandmatobe 1
has 1
he 1
heartfelt 1
her 7
him 1
his 4
hollywood 1
home 2
hometown 1
in 5
indepth 1
inexplicable 1
is 7
join 1
kidnap 1
labor 1
led 1
letters 1
life 1
live 1
long 1
look 1
madcap 1
months 1
more 1
mother 4
moves 2
musical 1
named 1
not 2
nursing 1
of 7
on 1
out 1
pregnant 1
priority 1
ray 4
recall 1
recuperate 1
relationship 2
retired 1
returns 1
scheme 1
screenwriter 1
sharpe 1
she 3
showbizzy 1
signals 1
situation 1
stages 1
star 1
story 1
stricken 1
surgery 1
survive 1
take 1
texas 1
that 5
the 8
them 2
then 3
there 1
things 1
to 10
top 1
unborn 1
when 1
whitewright 1
who 5
will 1
william 2
with 5
write 1
writes 1
wrong 1
zany 1
