21111494
/m/05b_099
/m/05b_099
César Aira
1993
a 10
act 1
after 1
altercation 1
an 3
and 10
are 1
arturo 1
as 3
at 1
became 1
become 1
been 1
beginning 1
being 1
bigger 1
biggest 1
blurs 1
boy 2
but 1
by 4
called 1
captures 1
carrera 1
categories 1
cesar 1
child 3
chronicles 1
class 2
contaminated 1
csar 2
cyanide 1
delusions 1
difficult 1
disappoints 1
disconnected 1
drawn 1
drum 1
eight 1
end 1
ends 1
external 1
family 1
fantastic 1
father 4
finds 1
finish 1
for 1
friends 1
from 2
gets 2
girl 2
has 2
have 1
he 2
her 9
herself 2
himself 1
hisher 1
horrified 1
horror 1
hospital 2
how 1
i 1
icecream 7
imagination 1
imagined 1
in 6
insists 1
internal 1
into 3
introverted 1
is 6
it 1
joins 1
kidnapped 1
killed 1
killing 1
late 1
learned 1
learns 1
life 1
makebelieve 1
months 1
mother 1
moves 1
naivete 1
named 1
novel 1
nun 1
of 12
often 1
once 1
only 1
out 1
own 1
poisoning 1
prison 1
promised 1
read 1
real 1
realizes 1
referred 1
rest 1
rosario 1
school 1
seems 1
sees 1
sense 1
sent 1
she 5
sixyearold 1
spend 1
stop 1
story 1
strawberry 2
suffering 1
takes 1
taste 1
tasting 1
that 2
the 22
three 1
throws 1
thus 1
time 1
to 5
told 1
town 1
up 1
vendor 2
vengeance 1
was 1
what 2
where 1
which 3
who 2
wife 2
wonder 1
world 2
year 1
years 1
young 1
