2899736
/m/08b4wk
/m/08b4wk
Walter Scott
1822-05-29
{"/m/0hwxm": "Historical novel"}
a 18
accompany 1
accosted 1
accused 1
acquaintance 1
act 1
acts 1
advance 1
advised 1
affairs 1
after 1
afterwards 1
all 3
also 1
although 1
among 1
an 3
and 33
announced 1
anonymous 1
another 1
apartments 1
appear 1
appeared 1
apprehension 1
apprentice 1
apprentices 2
aristocracy 1
arrest 1
arrived 2
as 12
ascertain 1
assigned 1
at 9
attended 2
attire 1
authorised 1
avoid 1
bailiff 1
barber 1
barrister 1
beaujeu 1
been 7
begged 1
being 2
boat 1
boy 1
bride 1
broken 1
brought 1
buckingham 1
by 14
came 2
captain 2
care 1
carried 1
challenged 1
chandler 2
charge 2
charles 2
chase 1
christie 1
claim 2
colepepper 1
come 1
commanded 1
companion 2
company 2
compelled 1
conducted 1
confession 1
confidant 1
consigned 1
court 3
courtiers 1
dalgarno 5
dame 3
danger 1
daughter 4
david 1
day 2
debt 2
deeds 1
deer 1
deprived 1
detected 1
dined 1
dining 1
disembarking 1
disguise 1
dressed 3
due 1
duel 1
duke 2
effecting 1
embarrassment 1
employed 1
encouraged 1
enemy 1
enfield 1
engaged 1
escape 1
estate 1
estates 2
explained 1
explanations 1
extravagant 1
father 4
feast 1
fellow 1
fight 1
fleet 1
flight 1
for 5
found 1
fray 1
freed 1
friend 1
from 9
full 1
further 1
garments 1
george 1
give 1
glenvarloch 1
goldsmith 3
gossiping 1
gravesend 1
greenwich 1
guide 1
habits 1
had 19
handed 1
has 1
have 1
having 9
he 21
head 1
hearing 1
heart 1
help 1
her 10
here 1
heriot 4
hermione 2
hildebrod 1
him 16
himself 3
his 28
honouring 1
hoped 1
hour 1
however 2
huntinglen 1
i 1
ill 2
in 21
induced 1
initiated 1
insisted 1
instantly 1
instead 1
interest 1
interview 1
into 1
introduced 1
issued 1
james 3
join 1
joining 1
just 1
keeper 1
killed 2
king 7
known 1
lady 2
landed 1
later 1
learnt 2
lent 1
letter 1
liabilities 1
life 1
lives 1
lodging 1
lodginghouse 1
london 2
lord 6
lost 2
love 1
lowestoffe 2
made 1
majesty 1
manner 1
mansion 1
margaret 5
married 1
marry 2
martha 2
master 2
meeting 1
met 1
might 1
money 3
moniplies 4
morning 1
mr 2
mungo 2
murdered 2
named 1
nelly 1
next 2
nigel 11
night 1
now 1
obtain 1
obtained 1
occupied 1
of 23
off 2
offer 1
officers 1
old 2
olifaunt 1
on 5
one 2
only 1
order 1
owing 1
page 1
papers 1
pardon 1
park 2
part 1
particulars 1
paul 1
payment 2
period 1
petition 2
placed 1
planned 1
position 1
precincts 1
presence 1
present 1
presented 3
presently 1
preserver 1
prince 1
proceeded 1
promised 1
proper 1
put 1
ramsay 2
readiness 1
reading 1
received 1
recognised 1
recovered 1
redeem 1
refuge 1
remained 1
renewed 1
reproach 1
rescued 1
respecting 2
revealed 1
revenge 1
richie 3
rival 1
rob 1
robbers 1
room 1
royal 1
ruffians 1
run 1
same 5
saved 1
scotch 1
secret 1
secured 2
set 1
several 1
she 5
shot 1
should 1
shown 1
signmanual 1
sir 2
slip 1
son 1
soon 1
sought 1
spoken 1
st 1
stairs 1
stranger 1
street 2
such 1
suffered 1
suite 1
sum 1
supplied 1
suspected 1
take 1
taken 1
tattered 1
tavern 1
temple 1
that 8
the 48
their 1
them 1
then 1
they 2
time 3
to 37
told 1
tower 1
trapbois 3
treasure 2
trouble 1
tunstall 1
two 4
upon 2
ursula 2
usage 1
very 1
vessel 1
vices 1
vincent 4
visit 1
waiting 2
wales 1
warned 2
warrant 2
was 22
watchmaker 1
waterman 1
way 1
waylay 1
well 1
were 2
wharf 1
when 4
where 2
which 7
while 2
whitefriars 1
whitehall 1
who 8
whom 5
wife 4
with 16
within 1
wound 1
young 1
