11569546
/m/02rjht4
/m/02rjht4
Peter Robinson
1996
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery"}
a 10
about 1
accused 1
accuseds 1
after 1
alan 1
alive 1
and 6
are 1
as 2
at 1
banks 4
barry 1
be 1
because 1
behind 1
body 1
boy 1
breathes 1
bridge 1
but 2
cant 1
case 1
catch 1
cemetery 1
chief 2
collective 1
community 1
constable 1
convinced 1
dark 1
daughter 1
deborah 4
deborahs 2
delay 1
detective 2
different 1
done 1
each 1
eastvale 1
enclave 1
ends 1
evening 1
examines 1
exgirlfriend 1
family 2
figure 1
fog 1
forced 1
formed 1
found 1
friend 1
from 1
goodbye 1
harassing 1
harrison 1
has 1
have 1
he 1
her 3
highflying 1
his 3
home 1
hopes 1
if 2
in 1
incur 1
industrialist 1
information 1
inspector 2
into 1
is 4
it 1
jeremiah 1
jimmy 2
killer 1
last 1
lies 1
local 1
long 1
looks 1
loose 1
lynchmob 1
man 1
marys 1
megan 1
murder 2
new 3
not 2
of 9
on 3
own 1
partly 1
pattern 1
piece 1
pressure 1
prominent 1
puts 1
refugee 1
relief 1
riddle 2
saw 1
school 1
schoolteacher 1
secret 1
secrets 1
seen 1
sexually 1
shadowy 1
she 2
sigh 1
sixteenyearold 1
so 1
solve 1
soon 1
st 1
stott 1
straying 1
sure 1
team 1
teenage 1
terrorises 1
thanks 1
that 1
the 16
then 1
there 1
they 2
thick 1
thinks 1
threatened 1
thug 1
time 1
to 4
turns 1
until 1
vicar 1
vindictive 1
violence 1
was 3
waved 1
way 1
wealthy 1
when 1
whereabouts 1
while 1
who 2
wife 1
with 3
without 1
work 1
worker 1
wrath 1
