11855963
/m/02rvsfw
/m/02rvsfw
Frederic Dannay
1958
12 1
130 1
a 13
about 2
accumulate 1
across 1
after 1
againthis 1
although 1
an 2
and 12
anonymously 1
any 1
are 4
as 2
associated 1
author 1
back 1
be 1
become 1
becomes 1
begins 1
behaviour 1
behind 1
beside 1
birthday 3
body 1
business 1
by 1
camel 1
can 1
case 1
christmas 1
come 1
comes 1
conclusively 1
connected 1
contains 1
continues 1
cryptic 2
dagger 2
daily 1
days 1
decades 1
describing 1
detailing 1
diary 1
discovered 2
doll 1
doodles 1
early 1
ellery 3
end 1
entry 1
eve 1
explain 2
eye 1
fenceseemingly 1
final 1
finally 1
finishing 1
first 1
fish 1
fledgling 1
for 3
gift 1
gifts 6
hat 1
have 1
he 2
held 1
him 1
his 8
holiday 1
house 3
identify 1
immediately 1
imminent 1
in 2
inheritance 1
into 1
investigate 1
investigation 1
invited 1
is 6
it 1
large 2
late 1
later 1
leading 1
left 1
life 1
like 1
little 3
man 2
meaning 1
more 4
murder 1
murderer 1
mysterious 1
mystery 2
note 1
notes 2
novel 1
number 3
of 13
ominous 1
on 2
one 1
or 4
ornate 1
over 1
parts 1
party 2
people 1
period 1
post 1
publication 1
publisher 1
queen 1
realizes 1
reason 1
reasons 1
represent 1
rhyme 1
roman 1
seem 1
series 2
significance 1
sized 1
social 1
solution 1
solve 1
some 2
stabbed 1
strange 1
stroke 1
success 1
suggests 1
that 4
the 24
them 4
things 2
thinking 1
threatening 1
three 1
thus 1
time 2
tiny 1
to 8
together 1
two 1
unable 1
unusual 1
up 1
upon 1
wealthy 2
who 1
with 5
without 1
young 2
your 1
