3603721
/m/09pb59
/m/09pb59
Nancy Holder
2000-07
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1500 1
1th 1
47 1
a 7
about 1
ad 1
after 2
against 1
alive 1
an 1
ancient 1
and 13
angel 1
angelus 1
approved 1
are 5
arrived 1
as 6
ascension 1
ashes 2
at 1
authors 1
back 1
battleground 1
be 1
become 1
been 1
books 1
both 1
brian 1
buffy 6
buffyverse 1
but 2
by 4
caligula 1
came 1
canon 1
captured 1
century 1
come 2
considered 2
containing 1
dellasandro 1
destruction 1
do 1
down 1
dozens 1
each 1
early 1
emperor 1
ended 1
ever 1
every 1
everyone 1
expect 1
explains 1
fanfic 1
fans 1
fox 1
friends 2
from 3
gallery 1
goddess 1
goes 1
has 4
have 2
he 1
heart 1
helen 5
her 6
his 3
how 1
however 1
hunt 1
hunted 1
imaginations 1
in 6
infected 1
into 1
is 2
it 1
joyce 1
julian 1
killed 1
later 2
learns 1
led 1
life 1
list 1
lover 1
madness 1
merchandise 1
met 1
meter 3
most 1
must 1
nasty 1
need 1
next 1
night 1
not 3
novels 2
of 9
office 1
official 1
officially 1
old 1
on 3
one 2
onto 1
opponents 1
or 1
order 1
other 1
over 1
overviews 1
paramours 1
part 1
past 1
potion 1
prevent 1
process 1
published 1
raise 1
reality 1
regained 1
rising 1
runin 1
same 1
she 3
shock 1
shooting 1
single 1
slayer 2
slayers 1
soul 1
spree 1
state 1
stay 1
stolen 1
story 1
straight 1
student 1
such 1
suited 1
summarising 1
sunnydale 3
that 3
the 13
their 1
therefore 1
they 4
this 1
though 1
time 1
to 8
town 1
turn 1
unlike 1
up 1
urn 1
used 1
usually 1
vampire 1
vicious 2
way 1
well 1
were 2
whedon 1
when 2
where 1
who 1
with 1
would 1
writing 1
written 1
years 1
