19943070
/m/04y7lrk
/m/04y7lrk
Eva Ibbotson
1975
a 19
about 2
accompanied 1
across 1
adventure 1
agreed 1
alaska 1
allows 1
along 1
an 2
and 27
anger 1
another 1
anything 1
are 3
as 4
assortment 1
at 2
aunt 1
backwards 1
barbara 4
bat 1
battle 1
be 3
bear 1
bears 1
begins 1
behind 1
being 1
bid 1
bit 1
bloodstains 1
both 1
boy 1
brood 1
brother 1
bullhaven 5
but 2
by 5
called 1
cannot 1
car 1
castle 6
celebrate 1
church 1
clarence 1
clergymen 2
close 1
come 1
concerning 1
conversation 1
cook 1
couldnt 1
cousin 1
covered 1
crashed 1
cure 1
curses 1
daughter 1
death 1
decision 1
destroyed 1
dinner 1
disbelief 1
dismisses 1
dried 1
empty 1
england 2
enough 1
escape 1
even 1
exchange 1
exorcise 3
family 3
fanciful 1
father 1
feed 1
fighting 1
find 1
for 7
forming 1
friend 1
friendly 1
friends 1
frightful 1
furious 1
gathered 1
george 1
ghastly 1
ghost 5
ghosts 16
guests 1
had 1
hag 2
hangerson 1
has 1
haunt 1
haunting 1
he 2
head 1
headless 1
help 1
helped 1
her 1
here 1
heroic 1
him 3
his 15
hold 1
holiday 1
home 1
homes 1
horrible 1
hortensia 1
house 1
however 2
humans 1
humphrey 4
ignorant 1
implores 1
in 10
insleyfarne 6
instructs 1
interrupted 1
into 2
is 5
it 1
killed 1
land 2
large 1
latin 1
least 1
leave 1
leaving 1
legs 1
little 1
loathsome 1
london 2
lord 2
lost 1
mad 1
make 1
manages 1
meet 2
member 1
minister 3
mistaking 1
money 1
monk 1
mother 1
motorway 1
mr 1
new 1
northern 1
norton 3
numbers 1
of 13
offer 1
on 1
one 1
or 1
ordinary 1
other 2
otterburn 1
out 4
over 1
own 1
parliament 1
party 3
peace 1
person 1
pet 1
peter 3
pick 1
place 1
plan 1
plane 1
plans 2
pleasant 1
plight 1
polar 1
politician 1
polluted 1
present 1
pretense 1
prime 3
prominent 1
promise 1
pronounce 1
quiet 1
quite 2
recruits 1
redevelop 1
regrets 1
remedies 1
rename 1
rescuer 1
resort 1
return 1
returned 1
returns 1
revealed 1
rick 16
river 1
ruin 1
run 1
saddened 1
sanctuary 1
save 2
saying 1
school 5
scotland 1
scottish 1
screaming 1
seeks 1
sensible 1
settle 2
several 2
shaken 1
she 1
shuk 2
sister 1
skull 1
sort 1
starving 1
stone 1
story 1
student 1
such 1
supernatural 1
survival 1
susie 1
sword 1
tail 1
take 1
takes 2
talks 1
tells 1
the 39
their 7
them 3
they 4
thorne 1
though 1
thoughtful 1
thrilled 1
through 1
throughout 1
to 30
travel 2
travels 1
turned 2
unafraid 1
unlike 1
unusual 1
up 1
using 1
vampire 1
victory 1
wailing 1
wall 1
wallance 1
walter 1
warn 1
was 2
way 2
weakened 1
wet 1
when 1
which 1
who 3
whole 1
whose 1
wilks 3
winifred 1
with 3
wormwood 1
yet 1
