5407173
/m/0dkgr2
/m/0dkgr2
Jim Mortimore

{"/m/014dfn": "Speculative fiction"}
a 6
ace 2
after 3
ago 1
along 1
alternate 2
an 2
and 8
architectural 1
around 1
at 1
attempts 1
bernice 2
breaks 1
brigadier 2
bring 1
can 1
cannot 1
chain 1
configuration 1
controls 1
convince 1
created 1
current 1
death 1
delete 1
destroy 2
destroying 1
dinosaur 1
doctor 8
earth 4
embittered 1
emergency 1
ending 1
entire 1
exterior 1
find 1
first 1
for 1
force 1
forcing 1
gone 1
had 1
happy 1
have 2
he 1
hibernation 1
his 3
however 1
humanity 1
in 5
inbound 1
incarnation 1
inhabitants 1
into 3
is 1
its 1
justice 1
kill 1
killed 1
knocks 1
landed 2
landing 1
leader 1
learns 1
live 1
lived 1
lives 1
liz 1
make 1
manages 2
massacre 1
materializes 1
missiles 2
most 1
must 1
mysterious 1
nuclear 1
of 5
old 1
on 3
order 2
out 1
parallel 2
peace 1
pit 1
plague 1
prehistoric 2
prevents 1
races 1
rams 1
reaction 1
reactivate 1
real 1
remnants 1
rest 1
return 1
reveals 1
ruined 1
save 1
shaw 1
silurian 1
silurians 3
simultaneously 1
soon 1
start 1
state 1
survive 1
tar 1
tardis 4
that 4
the 28
their 2
them 1
then 4
they 1
theyve 1
thinking 1
third 2
this 3
through 1
throwing 1
time 1
timeline 1
times 1
to 11
twenty 1
two 1
unit 1
universe 4
uses 1
version 1
vortex 1
vowing 1
went 1
when 1
which 2
whoever 1
will 1
with 3
without 1
years 1
