25556087
/m/09rwv2t
/m/09rwv2t
Eugene Sledge
2002-05-10
145 2
146 1
82day 1
a 13
about 1
absence 1
academic 1
actually 1
adjustment 2
afraid 1
after 2
against 1
alabama 1
alien 1
all 3
amenities 1
american 1
americans 1
an 5
and 22
animals 1
anticipated 1
anything 1
army 1
as 13
asians 1
asked 1
associates 1
at 7
atomic 1
atrocities 1
auburn 1
back 1
base 1
battalion 1
battle 2
bay 1
be 1
bearable 1
became 1
been 5
beijing 1
being 1
believe 1
between 1
bewildered 1
biologist 1
birds 1
bombings 1
book 1
books 1
brother 1
busy 1
but 4
by 4
called 1
career 1
celebrate 1
china 2
chinese 3
cities 1
civilian 2
civilians 1
clean 1
cleanup 1
college 1
committed 1
complexities 1
comprehend 1
concern 1
conditions 1
confront 1
continued 1
contrast 1
could 1
courses 1
crowds 1
culture 1
dangerous 1
days 1
dead 1
defeated 1
demobilization 1
denied 1
described 1
describes 1
description 2
deteriorate 1
did 2
direction 1
discharge 1
disturbed 1
division 1
dr 1
dry 1
during 2
duty 2
earlier 1
early 1
easily 1
easy 1
embarked 1
emotional 1
emotions 1
empathy 1
empire 1
encounters 1
enemy 2
enjoying 1
enormous 1
entertainment 1
european 1
even 1
events 2
exciting 1
expanded 1
expected 1
experience 2
explained 1
exposed 1
expressed 2
face 2
factions 1
facts 1
family 1
fang 1
father 2
felt 1
filled 1
find 1
first 1
fleas 1
flemish 1
fooling 1
for 4
forgave 1
forget 1
forgive 1
free 1
fresh 1
friends 2
from 1
fun 1
garrison 1
gave 1
gazing 1
good 1
grasped 1
grew 1
guard 1
had 10
have 1
he 15
healing 1
hemelryjck 1
him 4
his 18
historical 1
hobby 1
home 2
how 1
huge 1
humor 1
hunting 1
i 4
ideal 1
if 2
important 1
in 16
incident 2
include 1
including 1
influenced 1
initially 1
instead 1
intense 1
invasion 2
is 3
it 1
japan 2
japanese 2
john 1
kept 1
kill 1
killed 2
known 1
labor 1
lack 1
lady 1
lang 1
life 4
like 1
list 1
live 1
long 2
love 1
luck 1
man 2
manual 1
many 1
marcel 1
marine 1
marines 5
marriage 1
married 1
marveled 1
me 2
meant 1
mellow 1
mellowing 1
member 1
memory 1
men 1
met 1
might 1
military 2
millions 1
minds 1
missed 1
mixed 1
mokestacking 1
months 1
morale 1
more 1
most 1
mother 1
mouth 1
movies 1
musical 1
my 2
nanking 1
naval 1
never 1
new 1
no 1
none 1
nonexistent 1
not 5
number 2
objects 1
occupation 1
of 34
office 1
officer 1
okinawa 3
on 4
ones 1
onlookers 1
opens 1
opinion 2
or 2
others 1
otherwise 1
our 1
over 1
own 1
pacific 3
parents 1
particular 1
pastime 1
pastimes 1
peiping 1
peleliu 1
people 1
perennial 1
physician 1
point 2
political 1
practices 1
precipitous 1
prepare 1
priest 1
process 1
prolonged 1
rape 1
rather 1
reality 1
realized 1
registrar 1
regret 1
regretted 1
relevance 1
remained 1
remaining 1
replacement 1
rest 1
retained 1
return 1
revisionism 1
rich 1
rose 1
rotated 1
season 1
second 1
see 2
selfknowledge 1
sense 1
sent 2
she 1
shipped 1
shot 1
simple 1
sky 1
sledge 9
smokestacking 1
so 2
socks 1
socratic 1
soldiers 2
some 1
soong 1
sort 3
south 1
specifically 1
staff 1
start 1
states 1
still 1
straining 1
stress 1
strife 1
struck 1
such 5
suddenly 1
support 1
surrender 1
surrounded 1
survive 1
sweet 1
system 1
taught 1
teacher 1
tense 1
term 1
termed 1
that 4
the 41
their 4
then 2
there 1
they 3
thing 1
think 1
this 5
thousands 1
through 1
time 1
to 26
tokyo 1
tourism 1
toward 1
trained 1
training 2
tried 1
troops 1
truethe 1
twin 1
typhoon 2
typical 1
unbelieving 1
under 1
understanding 1
united 1
university 1
until 2
up 2
von 1
war 4
was 12
wayne 1
we 1
weathered 1
well 1
went 1
were 6
what 1
when 1
where 1
which 1
while 1
who 4
with 4
witness 1
words 2
work 1
world 1
worsened 1
would 2
wounded 1
wry 1
yk 1
yokosuka 1
young 1
